title,year,journal,method,markerGene,nSamples,seqDepth,simIndex,otuDefinition,taxa,medium,biome,scale,mantelR,pValue,notes
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,16S,25,NA,sorensen,band,archaea,sediment,sediment,1.4,0.45,0.03,NA
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,mcrA,25,NA,sorensen,band,archaea,sediment,sediment,1.4,0.6,0.001,NA
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,16S,25,NA,sorensen,band,bacteria,sediment,sediment,1.4,0.34,0.006,NA
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,16S,25,NA,bray,band,archaea,sediment,sediment,1.4,0.3,0.005,NA
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,mcrA,25,NA,bray,band,archaea,sediment,sediment,1.4,0.69,0.001,NA
+ACI-Distance+AC0-Decay and Taxa+AC0-Area Relationships for Bacteria, Archaea and Methanogenic Archaea in a Tropical Lake Sediment+ACI-,2014,PloS One,TRFLP,16S,25,NA,bray,band,bacteria,sediment,sediment,1.4,0.34,0.006,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0,0.51,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0.23,0.04,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0.41,0.04,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0.48,0.01,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0.42,0.04,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.24,0.08,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.39,0.01,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.35,0.03,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.41,0.03,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.36,0.02,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.44,0,NA
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant+AC0-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.45,0.02,NA
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,jaccard,NA,fungi,soil,grassland,100,0.019,0.22,NA
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,betaMNTD,NA,fungi,soil,grassland,100,0.005,0.577,NA
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,betaMPD,NA,fungi,soil,grassland,100,0.04,0.12,NA
Spatial Scaling Effects on Soil Bacterial Communities in Malaysian Tropical Forests,2014,Microbial Ecology,pyrosequencing,16S,30,520,bray,0.97,bacteria,soil,forest,0.15,0.03,0.05,NA
Spatial Scaling Effects on Soil Bacterial Communities in Malaysian Tropical Forests,2014,Microbial Ecology,pyrosequencing,16S,26,520,bray,0.97,bacteria,soil,forest,1300,0.2,NA,NA
SSU rDNA Sequence Diversity and Seasonally Differentiated Distribution of Nanoplanktonic Ciliates in Neritic Bohai and Yellow Seas as Revealed by T+AC0-RFLP,2014,PloS One,TRFLP,18S,35,NA,bray,band,eukarya,water,ocean,540,+AC0-0.011,NA,binary
SSU rDNA Sequence Diversity and Seasonally Differentiated Distribution of Nanoplanktonic Ciliates in Neritic Bohai and Yellow Seas as Revealed by T+AC0-RFLP,2014,PloS One,TRFLP,18S,35,NA,bray,band,eukarya,water,ocean,540,+AC0-0.008,NA,abund
+ACI-Pyrosequencing reveals correlations between extremely acidophilic bacterial communities with hydrogen sulphide concentrations, pH and inert polymer coatings at concrete sewer crown surfaces+ACI-,2014,Journal of Applied Microbiology,pyrosequencing,16S,6,1759,bray,0.97,bacteria,water,sewer,0.2,+AC0-0.24,0.175,NA
Neotropical Andes hot springs harbor diverse and distinct planktonic microbial communities,2014,Environmental Microbiology,pyrosequencing,16S,5,4400,jaccard,0.97,Bac+AF8-arch,water,river,290,0.50273,0.05,NA
Diversity and Transport of Microorganisms in Intertidal Sands of the California Coast,2014,Applied and Environmental Microbiology,pyrosequencing,16S,49,4000,bray,0.97,Bac+AF8-arch,sediment,sediment,1350,0.25,0.001,NA
The spatial structure of bacterial communities is influenced by historical environmental conditions,2014,Ecology,TRFLP,16S,16,NA,bray,band,bacteria,water,ocean,0.03,0.28,0.01,NA
Drivers shaping the diversity and biogeography of total and active bacterial communities in the South China Sea,2014,Molecular Ecology,pyrosequencing,16S,30,4346,bray,0.97,bacteria,water,ocean,500,0.2497,0.01,NA
Differentiation between sediment and hypolimnion methanogen communities in humic lakes,2014,Environmental Microbiology,sanger,mcrA,27,25,w+AF8-unifrac,1,archaea,sediment,sediment,32,0.12,0.14,NA
Differentiation between sediment and hypolimnion methanogen communities in humic lakes,2014,Environmental Microbiology,sanger,mcrA,27,25,bray,1,archaea,sediment,sediment,32,0.61,0.001,NA
Biogeography of the Sediment Bacterial Community Responds to a Nitrogen Pollution Gradient in the East China Sea,2014,Applied and Environmental Microbiology,pyrosequencing,16S,25,4800,bray,0.97,bacteria,sediment,sediment,55,0.879,0.001,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,28,NA,bray,band,bacteria,host,sponge,800,0.863,NA,HaeIII
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,28,NA,bray,band,bacteria,host,sponge,800,0.931,NA,MspI
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,27,NA,bray,band,bacteria,host,sponge,800,0.085,NA,HaeIII
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,27,NA,bray,band,bacteria,host,sponge,800,0.86,NA,MspI
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,19,NA,bray,band,bacteria,host,sponge,800,0.95,NA,HaeIII
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,19,NA,bray,band,bacteria,host,sponge,800,0.591,NA,MspI
Environmental controls over bacterial communities in polar desert soils,2013,Ecosphere,TRFLP,16S,32,NA,bray,band,bacteria,soil,desert,60,0.21,0.006,NA
Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances,2013,ISME,pyrosequencing,ITS,44,100,beta+AF8-sim,0.97,fungi,air,built,0.5,0.2,0.001,summer
Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances,2013,ISME,pyrosequencing,ITS,36,100,beta+AF8-sim,0.97,fungi,air,built,0.5,0.19,0.003,winter
The biogeography of fungal communities in wetland sediments along the Changjiang River and other sites in China,2013,ISME,DGGE,ITS,61,NA,NA,band,fungi,sediment,sediment,4000,0.224,0.003,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,3,0.151,NA,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,3,0.202,NA,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,50,0.353,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,u+AF8-unifrac,0.97,bacteria,water,lake,50,0.244,0.01,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,20,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,0.011,0.177,0.05,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,28,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,0.007,0.394,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,24,1000,u+AF8-unifrac,0.97,bacteria,water,river,33,0.376,0.01,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,25,1000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,850,0.145,NA,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,betaMNTD,0.97,bacteria,sediment,sediment,3,0.099,NA,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,betaMNTD,0.97,bacteria,sediment,sediment,3,0.202,NA,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,betaMNTD,0.97,bacteria,sediment,sediment,50,0.435,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,betaMNTD,0.97,bacteria,water,lake,50,0.275,0.01,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,20,1000,betaMNTD,0.97,bacteria,sediment,sediment,0.011,0.422,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,28,1000,betaMNTD,0.97,bacteria,sediment,sediment,0.007,0.486,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,24,1000,betaMNTD,0.97,bacteria,water,river,33,0.494,0.001,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,25,1000,betaMNTD,0.97,bacteria,sediment,sediment,850,0.143,NA,NA
Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems,2013,FEMS Microbiology Ecology,TRFLP,18S,24,NA,bray,band,eukarya,water,lake,400,0.53,0.01,NA
Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems,2013,FEMS Microbiology Ecology,pyrosequencing,18S,6,14890,bray,0.95,eukarya,water,lake,400,0.83,0.05,NA
Biogeography of bacterial communities exposed to progressive long+AC0-term environmental change,2013,ISME,pyrosequencing,16S,39,2800,bray,0.97,bacteria,water,lake,20,0.28,0.001,NA
Contemporary environmental variation determines microbial diversity patterns in acid mine drainage,2013,ISME,pyrosequencing,16S,59,540,w+AF8-unifrac,0.97,Bac+AF8-arch,NA,mine,1600,0.106,0.072,NA
+ACI-Microbial biogeography during austral summer 2007 in the surface waters around the South Shetland Islands, Antarctica+ACI-,2013,Aquatic Microbial Ecology,DGGE,16S,14,NA,bray,band,bacteria,water,ocean,523,0.441,0.003,NA
+ACI-Microbial biogeography during austral summer 2007 in the surface waters around the South Shetland Islands, Antarctica+ACI-,2013,Aquatic Microbial Ecology,DGGE,18S,14,NA,bray,band,eukarya,water,ocean,523,0.321,0.013,NA
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,114,400,bray,NA,eukarya,water,river,800,0.38,0.001,phytoplankton
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,129,400,bray,NA,eukarya,water,river,800,0.56,0.001,periphyton
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,114,400,simpson,NA,eukarya,water,river,800,0.38,0.001,phytoplankton
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,129,400,simpson,NA,eukarya,water,river,800,0.5,0.001,periphyton
Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau,2012,Environmental Microbiology,pyrosequencing,16S,17,4000,u+AF8-unifrac,0.97,bacteria,sediment,sediment,1670,0.443,0.03,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,TRFLP,16S,12,NA,bray,band,bacteria,soil,forest,343,0.35,0.022,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,TRFLP,16S,12,NA,bray,band,bacteria,soil,forest,343,0.32,0.027,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,u+AF8-unifrac,0.97,bacteria,soil,forest,343,0.24,0.064,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.9,bacteria,soil,forest,343,0,0.479,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.93,bacteria,soil,forest,343,0.15,0.186,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.95,bacteria,soil,forest,343,0.36,0.043,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.97,bacteria,soil,forest,343,0.35,0.036,NA
Dispersal limitation and the assembly of soil Actinobacteria communities in a long+AC0-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.99,bacteria,soil,forest,343,0.32,0.031,NA
Bacterial assemblages of the eastern Atlantic Ocean reveal both vertical and latitudinal biogeographic signatures,2012,Biogeosciences,pyrosequencing,16S,16,6687,bray,0.97,bacteria,soil,ocean,7700,0.25,0.04,NA
Biogeography of pelagic bacterioplankton across an antagonistic temperature+AC0-salinity gradient in the Red Sea,2011,Molecular Ecology,pyrosequencing,16S,31,1959,w+AF8-unifrac,0.97,bacteria,soil,ocean,700,0.84,0.0001,NA
Ecology and biogeography of bacterial communities associated with chloroethene+AC0-contaminated aquifers,2012,Frontiers in Microbiology,TRFLP,16S,84,NA,bray,band,bacteria,NA,aquifer,1000,0.223,0.001,NA
Bacterial community structure in a latitudinal gradient of lakes: the roles of spatial versus environmental factors,2011,Freshwater Biology,DGGE,16S,41,NA,jaccard,band,bacteria,water,lake,2150,0.503,0.0001,NA
The bacterial biogeography of British soils,2011,Environmental Microbiology,TRFLP,16S,1010,NA,bray,band,bacteria,soil,grassland,1200,0.1,0.001,NA
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,morphology,NA,100,200,sorensen,NA,eukarya,water,lake,800,0.246,0.001,NA
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,morphology,NA,100,50,sorensen,NA,eukarya,water,lake,800,0.296,0.001,NA
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,TRFLP,16S,100,NA,sorensen,band,bacteria,water,lake,800,0.145,0.001,NA
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,16S,14,NA,hellinger,band,bacteria,soil,grassland,508,0.23,0.007,lp
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,ITS,14,NA,hellinger,band,fungi,soil,grassland,508,+AC0-0.12,NA,lp
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,16S,14,NA,hellinger,band,bacteria,soil,grassland,508,0.02,0.41,is
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,ITS,14,NA,hellinger,band,fungi,soil,grassland,508,+AC0-0.04,NA,is
+ACI-Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard+ACI-,2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0.001,0.007,ml
+ACI-Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard+ACI-,2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0,0.392,ab
+ACI-Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard+ACI-,2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0.002,0.169,vb
Evidence of dispersal limitation in soil microorganisms: Isolation reduces species richness on mycorrhizal tree islands,2010,Ecology,sanger,ITS,155,33,bray,0.97,fungi,host,forest,7.8,0.07,0.001,NA
The ecology of the phyllosphere: geographic and phylogenetic variability in the distribution of bacteria on tree leaves,2010,Environmental Microbiology,pyrosequencing,16S,119,750,w+AF8-unifrac,0.97,bacteria,host,forest,14000,0.08,0.5,NA
Community structures of ammonia+AC0-oxidising archaea and bacteria in high+AC0-altitude lakes on the Tibetan Plateau,2010,Freshwater Biology,sanger,amoA,17,20,w+AF8-unifrac,0.98,archaea,water,lake,333.52,0.276,0.017,NA
Life history determines biogeographical patterns of soil bacterial communities over multiple spatial scales,2010,Molecular Ecology,phylochip,16S,10,NA,bray,NA,bacteria,soil,forest,350,0.54,0.007,rhizobia
Life history determines biogeographical patterns of soil bacterial communities over multiple spatial scales,2010,Molecular Ecology,phylochip,16S,10,NA,bray,NA,bacteria,soil,forest,350,0.31,0.02,xanthomonads
+ACI-Biogeographical patterns of freshwater micro+AC0- and macroorganisms: a comparison between phytoplankton, zooplankton and fish in the eastern Mediterranean+ACI-,2010,Journal of Biogeography,morphology,NA,7,400,sorensen,NA,eukarya,water,ocean,342,0.129,0.614,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.99,archaea,water,lake,17845.5,0.336,0.116,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.97,archaea,water,lake,17845.5,+AC0-0.094,0.473,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.95,archaea,water,lake,17845.5,+AC0-0.087,0.486,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.99,bacteria,water,lake,17845.5,0.125,0.166,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.97,bacteria,water,lake,17845.5,0.484,0.0016,NA
+ACI-Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina+ACI-,2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.95,bacteria,water,lake,17845.5,0.328,0.002,NA
+ACI-Relationships between Testate Amoebae Assemblages (Protozoa) and Geographic Factors in Yunnan Plateau Lakes, China+ACI-,2009,Journal of Freshwater Ecology,morphology,NA,9,NA,sorensen,NA,eukarya,water,lake,480,+AC0-0.031,0.437,NA
Biogeographical patterns of soil bacterial communities,2009,Environmental Microbiology,ARISA,16S,593,NA,sorensen,band,bacteria,soil,grassland,NA,0.225,0.001,NA
Bar+AC0-Coded Pyrosequencing Reveals Shared Bacterial Community Properties along the Temperature Gradients of Two Alkaline Hot Springs in Yellowstone National Park,2009,Applied and Environmental Microbiology,pyrosequencing,16S,39,484,bray,NA,bacteria,water,river,2,0.21,0.0001,NA
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,6.9,0.393,0.01,dicks
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,9,NA,sorensen,band,bacteria,water,lake,6.6,0.431,0.05,boundary
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,4,NA,sorensen,band,bacteria,water,lake,3,0.057,NA,ten
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,3.9,0.38,0.001,virgina
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,6,NA,sorensen,band,bacteria,water,lake,8.7,0.565,0.01,lundy
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,7.8,0.037,NA,shadow
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,14,NA,sorensen,band,bacteria,water,lake,7.1,0.225,0.05,little
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,4.5,0.56,0.01,steelhead
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,9.1,0.428,0.01,evolution
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,6.2,0.463,0.05,rae
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,6,NA,sorensen,band,bacteria,water,lake,5.2,0.242,NA,forester
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high+AC0- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,4.3,0.522,0.001,cottonwood
Bacterial cosmopolitanism and importance of local environmental factors for community composition in remote high+AC0-altitude lakes,2009,Freshwater Biology,DGGE,16S,6,NA,jaccard,band,bacteria,water,lake,5.9,0.555,0.032,NA
+ACI-Relationship of geographic distance, depth, temperature, and viruses with prokaryotic communities in the eastern tropical Atlantic Ocean+ACI-,2008,Microbial Ecology,TRFLP,16S,10,NA,jaccard,band,archaea,water,ocean,4600,+AC0-0.04,0.7939,NA
+ACI-Relationship of geographic distance, depth, temperature, and viruses with prokaryotic communities in the eastern tropical Atlantic Ocean+ACI-,2008,Microbial Ecology,TRFLP,16S,10,NA,jaccard,band,bacteria,water,ocean,4600,0.16,0.3512,NA
Water masses and biogeography of picoeukaryote assemblages in a cold hydrographically complex system,2008,Limnology and Oceanography,DGGE,18S,54,NA,euclidean,band,eukarya,water,ocean,2000,0.30932,0.019,NA
Phylogenetic ecology of the freshwater Actinobacteria acI lineage,2007,Applied and Environmental Microbiology,sanger,16S,18,93,bray,0.99,bacteria,water,lake,362,+AC0-0.09,NA,NA
Environmental controls on the landscape+AC0-scale biogeography of stream bacterial communities,2007,Ecology,TRFLP,16S,23,NA,bray,band,bacteria,sediment,sediment,7.5,0.05,NA,NA
Does ecosystem size determine aquatic bacterial richness?,2005,Ecology,DGGE,16S,11,NA,jaccard,band,bacteria,water,lake,7.5,0.292,0.025,NA
Large variability of bathypelagic microbial eukaryotic communities across the worlds oceans,2016,ISME,pyrosequencing,18S,25,6625,bray,0.97,eukarya,water,ocean,16000,0.32,0.001,NA
Microhabitat heterogeneity across leaves and flower organs promotes bacterial diversity,2015,FEMS Microbiology Ecology,illumina,16S,33,1000,w+AF8-unifrac,0.97,bacteria,host,flower,77.5,0.032,0.28,NA
+ACI-Methanogen diversity and community composition in peatlands of the central to northern Appalachian Mountain region, North America+ACI-,2012,Biogeochemistry,sanger,16S,30,75,sorensen,0.97,archaea,soil,marsh,775,0.15,0.67,NA
Environmental Constraints Underpin the Distribution and Phylogenetic Diversity of nifH in the Yellowstone Geothermal Complex,2011,Microbial Ecology,sanger,nifH,13,14,rao,0.99,Bac+AF8-arch,sediment,sediment,51.56,0.27,0.01,NA
+AFs-FeFe+AF0ALQ-hydrogenase in Yellowstone National Park: evidence for dispersal limitation and phylogenetic niche conservatism,2010,ISME,sanger,hydA,9,18,rao,NA,bacteria,sediment,sediment,53.3,0.45,0.01,NA
