authors,title,journal,year,vol,DOI,reviewer,screened,access,use
"Wu, LW; Ning, DL; Zhang, B; Li, Y; Zhang, P; Shan, XY; Zhang, QT; Brown, M; Li, ZX; Van Nostrand, JD; Ling, FQ; Xiao, NJ; Zhang, Y; Vierheilig, J; Wells, GF; Yang, YF; Deng, Y; Tu, QC; Wang, AJ; Zhang, T; He, ZL; Keller, J; Nielsen, PH; Alvarez, PJJ; Criddle, CS; Wagner, M; Tiedje, JM; He, Q; Curtis, TP; Stahl, DA; Alvarez-Cohen, L; Rittmann, BE; Wen, XH; Zhou, JZ; Acevedo, D; Agullo-Barcelo, M; Andersen, GL; de Araujo, JC; Boehnke, K; Bond, P; Bott, CB; Bovio, P; Brewster, RK; Bux, F; Cabezas, A; Cabrol, L; Chen, S; Etchebehere, C; Ford, A; Frigon, D; Gomez, JS; Griffin, JS; Gu, AZ; Habagil, M; Hale, L; Hardeman, SD; Harmon, M; Horn, H; Hu, ZQ; Jauffur, S; Johnson, DR; Keucken, A; Kumari, S; Leal, CD; Lebrun, LA; Lee, J; Lee, M; Lee, ZMP; Li, MY; Li, X; Liu, Y; Luthy, RG; Mendonca-Hagler, LC; de Menezes, FGR; Meyers, AJ; Mohebbi, A; Oehmen, A; Palmer, A; Parameswaran, P; Park, J; Patsch, D; Reginatto, V; de los Reyes, FL; Robles, AN; Rossetti, S; Sidhu, J; Sloan, WT; Smith, K; de Sousa, OV; Stephens, K; Tian, RM; Tooker, NB; Vasconcelos, DD; Wakelin, S; Wang, B; Weaver, JE; West, S; Wilmes, P; Woo, SG; Wu, JH; Wu, LY; Xi, CW; Xu, MY; Yan, T; Yang, M; Young, M; Yue, HW; Zhang, Q; Zhang, W; Zhang, Y; Zhou, HD; Brown, M",Global diversity and biogeography of bacterial communities in wastewater treatment plants,NATURE MICROBIOLOGY,2019,4,10.1038/s41564-019-0426-5,me,YES,,
"Reintjes, G; Tegetmeyer, HE; Burgisser, M; Orlic, S; Tews, I; Zubkov, M; Voss, D; Zielinski, O; Quast, C; Glockner, FO; Amann, R; Ferdelman, TG; Fuchs, BM",On-Site Analysis of Bacterial Communities of the Ultraoligotrophic South Pacific Gyre,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2019,85,10.1128/AEM.00184-19,me,maybe,,
"Benucci, GMN; Bonito, V; Bonito, G","Fungal, Bacterial, and Archaeal Diversity in Soils Beneath Native and Introduced Plants in Fiji, South Pacific",MICROBIAL ECOLOGY,2019,78,10.1007/s00248-018-1266-1,me,maybe,,
"Han, XH; Ren, CJ; Li, BY; Yan, SJ; Fu, SY; Gao, DX; Zhao, FZ; Deng, J; Yang, GH",Growing seasonal characteristics of soil and plants control the temporal patterns of bacterial communities following afforestation,CATENA,2019,178,10.1016/j.catena.2019.03.021,me,maybe,,
"Gong, B; Cao, HM; Peng, CY; Perculija, V; Tong, GX; Fang, HY; Wei, XX; Ouyang, SY","High-throughput sequencing and analysis of microbial communities in the mangrove swamps along the coast of Beibu Gulf in Guangxi, China",SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-45804-w,me,YES,,
"Hou, LY; Hu, A; Chen, SH; Zhang, KS; Orlic, S; Rashid, A; Yu, CP",Deciphering the Assembly Processes of the Key Ecological Assemblages of Microbial Communities in Thirteen Full-Scale Wastewater Treatment Plants,MICROBES AND ENVIRONMENTS,2019,34,10.1264/jsme2.ME18107,me,YES,,
"Lee, SA; Kim, Y; Kim, JM; Chu, B; Joa, JH; Sang, MK; Song, J; Weon, HY","A preliminary examination of bacterial, archaeal, and fungal communities inhabiting different rhizocompartments of tomato plants under real-world environments",SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-45660-8,me,maybe,,
"Liu, JJ; Cui, X; Liu, ZX; Guo, ZK; Yu, ZH; Yao, Q; Sui, YY; Jin, J; Liu, XB; Wang, GH",The Diversity and Geographic Distribution of Cultivable Bacillus-Like Bacteria Across Black Soils of Northeast China,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01424,me,maybe,,
"Hassett, BT; Thines, M; Buaya, A; Ploch, S; Gradinger, R","A glimpse into the biogeography, seasonality, and ecological functions of arctic marine Oomycota",IMA FUNGUS,2019,10,10.1186/s43008-019-0006-6,me,maybe,,
"Deng, YC; Che, RX; Wang, F; Conrad, R; Dumont, M; Yun, JL; Wu, YB; Hu, A; Fang, J; Xu, ZH; Cui, XY; Wang, YF",Upland Soil Cluster Gamma dominates methanotrophic communities in upland grassland soils,SCIENCE OF THE TOTAL ENVIRONMENT,2019,670,10.1016/j.scitotenv.2019.03.299,me,YES,,
"Fan, ZZ; Lu, SY; Liu, S; Guo, H; Wang, T; Zhou, JX; Peng, XW",Changes in Plant Rhizosphere Microbial Communities under Different Vegetation Restoration Patterns in Karst and Non-karst Ecosystems,SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-44985-8,me,maybe,,
"Martinez-Olivas, MA; Jimenez-Bueno, NG; Hernandez-Garcia, JA; Fusaro, C; Luna-Guido, M; Navarro-Noya, YE; Dendooven, L",Bacterial and archaeal spatial distribution and its environmental drivers in an extremely haloalkaline soil at the landscape scale,PEERJ,2019,7,10.7717/peerj.6127,me,YES,,
"Kou, YP; Li, CN; Li, JB; Tu, B; Wang, YS; Li, XZ",Climate and soil parameters are more important than denitrifier abundances in controlling potential denitrification rates in Chinese grassland soils,SCIENCE OF THE TOTAL ENVIRONMENT,2019,669,10.1016/j.scitotenv.2019.03.093,me,maybe,,
"Fiore-Donno, AM; Richter-Heitmann, T; Degrune, F; Dumack, K; Regan, KM; Marhan, S; Boeddinghaus, RS; Rillig, MC; Friedrich, MW; Kandeler, E; Bonkowski, M",Functional Traits and Spatio-Temporal Structure of a Major Group of Soil Protists (Rhizaria: Cercozoa) in a Temperate Grassland,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01332,me,YES,,
"Wang, PD; Chen, YJ; Sun, YT; Tan, S; Zhang, SY; Wang, ZH; Zhou, JZ; Zhang, G; Shu, WS; Luo, CL; Kuang, JL",Distinct Biogeography of Different Fungal Guilds and Their Associations With Plant Species Richness in Forest Ecosystems,FRONTIERS IN ECOLOGY AND EVOLUTION,2019,7,10.3389/fevo.2019.00216,me,YES,,
"Wu, DM; Dai, QP; Liu, XZ; Fan, YP; Wang, JX",Comparison of bacterial community structure and potential functions in hypoxic and non-hypoxic zones of the Changjiang Estuary,PLOS ONE,2019,14,10.1371/journal.pone.0217431,me,maybe,,
"Ma, JC; Nergui, S; Han, ZM; Huang, GN; Li, HR; Zhang, R; Zhu, LY; Liao, JF",The Variation of the Soil Bacterial and Fungal Community Is Linked to Land Use Types in Northeast China,SUSTAINABILITY,2019,11,10.3390/su11123286,me,maybe,,
"Machado, KB; Targueta, CP; Antunes, AM; Soares, TN; Telles, MPD; Logares, R; Vieira, LCG; Huszar, VLD; Nabout, JC",Diversity patterns of planktonic microeukaryote communities in tropical floodplain lakes based on 18S rDNA gene sequences,JOURNAL OF PLANKTON RESEARCH,2019,41,10.1093/plankt/fbz019,me,YES,,
"Liu, J; Guo, ZY; Xu, AA; Wang, CK; Wu, SW; Liu, Y; Pan, K; Zhang, FF; Pan, XZ",Consistent spatial distribution patterns of bacterial communities revealed by serial time-archived soils from long-term field experiments,SOIL BIOLOGY & BIOCHEMISTRY,2019,133,10.1016/j.soilbio.2019.02.020,me,maybe,,
"Kim, M; Lim, HS; Hyun, CU; Cho, A; Noll, HJ; Hong, SG; Kim, OS",Local-scale variation of soil bacterial communities in ice-free regions of maritime Antarctica,SOIL BIOLOGY & BIOCHEMISTRY,2019,133,10.1016/j.soilbio.2019.03.011,me,YES,,
"Wang, K; Hu, HJ; Yan, HZ; Hou, DD; Wang, YT; Dong, PS; Zhang, DM",Archaeal biogeography and interactions with microbial community across complex subtropical coastal waters,MOLECULAR ECOLOGY,2019,28,10.1111/mec.15105,me,maybe,,
"Isabwe, A; Ren, KX; Wang, YM; Peng, F; Chen, HH; Yang, J",Community Assembly Mechanisms Underlying the Core and Random Bacterioplankton and Microeukaryotes in a River-Reservoir System,WATER,2019,11,10.3390/w11061127,me,YES,,
"Zhang, B; Xue, K; Zhou, ST; Che, RX; Du, JQ; Tang, L; Pang, Z; Wang, F; Wang, D; Cui, XY; Hao, YB; Wang, YF","Phosphorus mediates soil prokaryote distribution pattern along a small-scale elevation gradient in Noijin Kangsang Peak, Tibetan Plateau",FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz076,me,maybe,,
"Li, J; Hu, HW; Cai, ZJ; Lei, YR; Zhang, MY; Li, W; Wang, JT",Contrasting Soil Bacterial and Fungal Communities between the Swamp and Upland in the Boreal Forest and their Biogeographic Distribution Patterns,WETLANDS,2019,39,10.1007/s13157-018-1086-6,me,maybe,,
"Cleary, DFR; Gomes, NCM",Baseline information on prokaryotic and microeukaryotic plankton communities inside and outside of Indonesian marine lakes,JOURNAL OF SEA RESEARCH,2019,148,10.1016/j.seares.2019.04.001,me,maybe,,
"Zhao, PY; Liu, JX; Jia, T; Luo, ZM; Li, C; Chai, BF","Assembly mechanisms of soil bacterial communities in subalpine coniferous forests on the Loess Plateau, China",JOURNAL OF MICROBIOLOGY,2019,57,10.1007/s12275-019-8373-7,me,maybe,,
"Teachey, ME; McDonald, JM; Ottesen, EA",Rapid and Stable Microbial Community Assembly in the Headwaters of a Third-Order Stream,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2019,85,10.1128/AEM.00188-19,me,YES,,
"Egidi, E; Wood, JL; Celestina, C; May, TW; Mele, P; Edwards, J; Powell, J; Bissett, A; Franks, AE",Delving into the dark ecology: A continent-wide assessment of patterns of composition in soil fungal communities from Australian tussock grasslands,FUNGAL ECOLOGY,2019,39,10.1016/j.funeco.2019.03.001,me,maybe,,
"Ottesen, A; Ramachandran, P; Reed, E; Gu, G; Gorham, S; Ducharme, D; Newell, M; Rideout, S; Turini, T; Hill, T; Strain, E; Brown, E","Metagenome tracking biogeographic agroecology: Phytobiota of tomatoes from Virginia, Maryland, North Carolina and California",FOOD MICROBIOLOGY,2019,79,10.1016/j.fm.2018.12.001,me,maybe,,
"Pec, GJ; Cahill, JF",Large-scale insect outbreak homogenizes the spatial structure of ectomycorrhizal fungal communities,PEERJ,2019,7,10.7717/peerj.6895,me,maybe,,
"Zhao, J; Wang, P; Yu, XF; Shu, W; Xu, QY","Structure and Composition of Sediment-Associated Bacterial and Eukaryotic Communities in the River-Lake System of Poyang Lake, China",GEOMICROBIOLOGY JOURNAL,2019,36,10.1080/01490451.2019.1611975,me,YES,,
"Zhao, PY; Bao, JB; Wang, X; Liu, Y; Li, C; Chai, BF",Deterministic processes dominate soil microbial community assembly in subalpine coniferous forests on the Loess Plateau,PEERJ,2019,7,10.7717/peerj.6746,me,YES,,
"Qin, HY; Wang, S; Feng, K; He, ZL; Virta, MPJ; Hou, WG; Dong, HL; Deng, Y",Unraveling the diversity of sedimentary sulfate-reducing prokaryotes (SRP) across Tibetan saline lakes using epicPCR,MICROBIOME,2019,7,10.1186/s40168-019-0688-4,me,maybe,,
"Wang, Y; Liu, YT; Wang, JN; Luo, TW; Zhang, R; Sun, J; Zheng, Q; Jiao, NZ","Seasonal dynamics of bacterial communities in the surface seawater around subtropical Xiamen Island, China, as determined by 16S rRNA gene profiling",MARINE POLLUTION BULLETIN,2019,142,10.1016/j.marpolbul.2019.03.035,me,maybe,,
"Brown, SP; Jumpponen, A",Microbial Ecology of Snow Reveals Taxa-Specific Biogeographical Structure,MICROBIAL ECOLOGY,2019,77,10.1007/s00248-019-01357-z,me,maybe,,
"Ghosh, A; Bhadury, P",Exploring biogeographic patterns of bacterioplankton communities across global estuaries,MICROBIOLOGYOPEN,2019,8,10.1002/mbo3.741,me,maybe,,
"Liu, KS; Yao, TD; Liu, YQ; Xu, BQ; Hu, AY; Chen, YY",Elevational patterns of abundant and rare bacterial diversity and composition in mountain streams in the southeast of the Tibetan Plateau,SCIENCE CHINA-EARTH SCIENCES,2019,62,10.1007/s11430-018-9316-6,me,YES,,
"Chai, YF; Cao, Y; Yue, M; Tian, TT; Yin, QL; Dang, H; Quan, JX; Zhang, RC; Wang, M",Soil Abiotic Properties and Plant Functional Traits Mediate Associations Between Soil Microbial and Plant Communities During a Secondary Forest Succession on the Loess Plateau,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00895,me,maybe,,
"Huang, YL; Huang, JL",Coupled effects of land use pattern and hydrological regime on composition and diversity of riverine eukaryotic community in a coastal watershed of Southeast China,SCIENCE OF THE TOTAL ENVIRONMENT,2019,660,10.1016/j.scitotenv.2019.01.063,me,maybe,,
"Liu, D; Wang, HL; An, SS; Bhople, P; Davlatbekov, F",Geographic distance and soil microbial biomass carbon drive biogeographical distribution of fungal communities in Chinese Loess Plateau soils,SCIENCE OF THE TOTAL ENVIRONMENT,2019,660,10.1016/j.scitotenv.2019.01.097,me,YES,,
"Morrissey, KL; Cavas, L; Willems, A; De Clerck, O","Disentangling the Influence of Environment, Host Specificity and Thallus Differentiation on Bacteria Communities in Siphonous Green Seaweeds",FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00717,me,maybe,,
"Ruiz-Gonzalez, C; Logares, R; Sebastian, M; Mestre, M; Rodriguez-Martinez, R; Gali, M; Sala, MM; Acinas, SG; Duarte, CM; Gasol, JM",Higher contribution of globally rare bacterial taxa reflects environmental transitions across the surface ocean,MOLECULAR ECOLOGY,2019,28,10.1111/mec.15026,me,maybe,,
"Le Guillou, C; Prevost-Boure, NC; Karimi, B; Akkal-Corfini, N; Dequiedt, S; Nowak, V; Terrat, S; Menasseri-Aubry, S; Viaud, V; Maron, PA; Ranjard, L",Tillage intensity and pasture in rotation effectively shape soil microbial communities at a landscape scale,MICROBIOLOGYOPEN,2019,8,10.1002/mbo3.676,me,maybe,,
"Hotaling, S; Quackenbush, CR; Bennett-Ponsford, J; New, DD; Arias-Rodriguez, L; Tobler, M; Kelley, JL",Bacterial Diversity in Replicated Hydrogen Sulfide-Rich Streams,MICROBIAL ECOLOGY,2019,77,10.1007/s00248-018-1237-6,me,maybe,,
"Bernasconi, R; Stat, M; Koenders, A; Huggett, MJ",Global Networks of Symbiodinium-Bacteria Within the Coral Holobiont,MICROBIAL ECOLOGY,2019,77,10.1007/s00248-018-1255-4,me,maybe,,
"Liu, Y; Debeljak, P; Rembauville, M; Blain, S; Obernosterer, I",Diatoms shape the biogeography of heterotrophic prokaryotes in early spring in the Southern Ocean,ENVIRONMENTAL MICROBIOLOGY,2019,21,10.1111/1462-2920.14579,me,YES,,
"Hu, YJ; Veresoglou, SD; Tedersoo, L; Xu, TL; Ge, TD; Liu, L; Chen, YL; Hao, ZP; Su, YR; Rillig, MC; Chen, BD",Contrasting latitudinal diversity and co-occurrence patterns of soil fungi and plants in forest ecosystems,SOIL BIOLOGY & BIOCHEMISTRY,2019,131,10.1016/j.soilbio.2019.01.001,me,maybe,,
"Malard, LA; Sabacka, M; Magiopoulos, I; Mowlem, M; Hodson, A; Tranter, M; Siegert, MJ; Pearce, DA",Spatial Variability of Antarctic Surface Snow Bacterial Communities,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00461,me,YES,,
"Lin, YT; Lin, YF; Tsai, IJ; Chang, EH; Jien, SH; Lin, YJ; Chiu, CY",Structure and Diversity of Soil Bacterial Communities in Offshore Islands,SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-41170-9,me,YES,,
"Zhang, GL; Bai, JH; Jia, J; Wang, W; Wang, X; Zhao, QQ; Lu, QQ",Shifts of soil microbial community composition along a short-term invasion chronosequence of Spartina alterniflora in a Chinese estuary,SCIENCE OF THE TOTAL ENVIRONMENT,2019,657,10.1016/j.scitotenv.2018.12.061,me,maybe,,
"Morales, SE; Biswas, A; Herndl, GJ; Baltar, F",Global Structuring of Phylogenetic and Functional Diversity of Pelagic Fungi by Depth and Temperature,FRONTIERS IN MARINE SCIENCE,2019,6,10.3389/fmars.2019.00131,me,maybe,,
"Malesevic, M; Mirkovic, N; Lozo, J; Novovic, K; Filipic, B; Kojic, M; Jovcic, B",Bacterial Diversity among the Sediments of Glacial Lakes in the Western Balkans: Exploring the Impact of Human Population,GEOMICROBIOLOGY JOURNAL,2019,36,10.1080/01490451.2018.1550128,me,maybe,,
"Peoples, LM; Grammatopoulou, E; Pombrol, M; Xu, XX; Osuntokun, O; Blanton, J; Allen, EE; Nunnally, CC; Drazen, JC; Mayor, DJ; Bartlett, DH",Microbial Community Diversity Within Sediments From Two Geographically Separated Hadal Trenches,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00347,me,maybe,,
"Wang, P; Zhao, J; Xiao, HY; Yang, WJ; Yu, XF",Bacterial community composition shaped by water chemistry and geographic distance in an anthropogenically disturbed river,SCIENCE OF THE TOTAL ENVIRONMENT,2019,655,10.1016/j.scitotenv.2018.11.234,me,YES,,
"George, PBL; Lallias, D; Creer, S; Seaton, FM; Kenny, JG; Eccles, RM; Griffiths, RI; Lebron, I; Emmett, BA; Robinson, DA; Jones, DL",Divergent national-scale trends of microbial and animal biodiversity revealed across diverse temperate soil ecosystems,NATURE COMMUNICATIONS,2019,10,10.1038/s41467-019-09031-1,me,maybe,,
"Jiao, S; Xu, YQ; Zhang, J; Hao, X; Lu, YH",Core Microbiota in Agricultural Soils and Their Potential Associations with Nutrient Cycling,MSYSTEMS,2019,4,10.1128/mSystems.00313-18,me,maybe,,
"Cho, HJ; Tripathi, BM; Moroenyane, I; Takahashi, K; Kerfahi, D; Dong, K; Adams, JM",Soil pH rather than elevation determines bacterial phylogenetic community assembly on Mt. Norikura,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiy216,me,maybe,,
"Zeglin, LH; Crenshaw, CL; Dahm, CN; Sheibley, RW; Takacs-Vesbach, CD","Watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",FRESHWATER SCIENCE,2019,38,10.1086/701597,me,maybe,,
"Sheng, R; Li, K; Zhang, WZ; Wang, H; Liu, HL; Zhu, XY; Wu, HX; Zhang, XQ; Lin, QM; Sun, XC; Tang, YF; Lamus, A; Wei, WX","Differentiations of determinants for the community compositions of bacteria, fungi, and nitrogen fixers in various steppes",ECOLOGY AND EVOLUTION,2019,9,10.1002/ece3.4940,me,maybe,,
"Tong, TL; Li, RL; Wu, SJ; Xie, SG",The distribution of sediment bacterial community in mangroves across China was governed by geographic location and eutrophication,MARINE POLLUTION BULLETIN,2019,140,10.1016/j.marpolbul.2019.01.046,me,maybe,,
"Zhao, PY; Liu, JX; Jia, T; Wang, YG; Chai, BF",Environmental filtering drives bacterial community structure and function in a subalpine area of northern China,JOURNAL OF BASIC MICROBIOLOGY,2019,59,10.1002/jobm.201800314,me,YES,,
"Rath, KM; Fierer, N; Murphy, DV; Rousk, J",Linking bacterial community composition to soil salinity along environmental gradients,ISME JOURNAL,2019,13,10.1038/s41396-018-0313-8,me,maybe,,
"Veresoglou, SD; Liu, L; Xu, TL; Rillig, MC; Wang, ME; Wang, JT; Chen, YL; Hu, YJ; Hao, ZP; Chen, BD",Biogeographical constraints in Glomeromycotinan distribution across forest habitats in China,JOURNAL OF ECOLOGY,2019,107,10.1111/1365-2745.13060,me,maybe,,
"An, JX; Liu, C; Wang, Q; Yao, MJ; Rui, JP; Zhang, SH; Li, XZ",Soil bacterial community structure in Chinese wetlands,GEODERMA,2019,337,10.1016/j.geoderma.2018.09.035,me,maybe,,
"Hanson, CA; Muller, AL; Loy, A; Dona, C; Appel, R; Jorgensen, BB; Hubert, CRJ",Historical Factors Associated With Past Environments Influence the Biogeography of Thermophilic Endospores in Arctic Marine Sediments,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00245,me,maybe,,
"Weigel, BL; Pfister, CA",Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00346,me,maybe,,
"Dennis, PG; Newsham, KK; Rushton, SP; ODonnell, AG; Hopkins, DW",Soil bacterial diversity is positively associated with air temperature in the maritime Antarctic,SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-39521-7,me,maybe,,
"Li, LW; Ma, ZS",Global Microbiome Diversity Scaling in Hot Springs With DAR (Diversity-Area Relationship) Profiles,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00118,me,YES,,
"Zorz, J; Willis, C; Comeau, AM; Langille, MGI; Johnson, CL; Li, WKW; LaRoche, J",Drivers of Regional Bacterial Community Structure and Diversity in the Northwest Atlantic Ocean,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00281,me,maybe,,
"Hao, X; Jiao, S; Lu, YH",Geographical pattern of methanogenesis in paddy and wetland soils across eastern China,SCIENCE OF THE TOTAL ENVIRONMENT,2019,651,10.1016/j.scitotenv.2018.09.167,me,maybe,,
"Ul-Hasan, S; Bowers, RM; Figueroa-Montiel, A; Licea-Navarro, AF; Beman, JM; Woyke, T; Nobile, CJ","Community ecology across bacteria, archaea and microbial eukaryotes in the sediment and seawater of coastal Puerto Nuevo, Baja California",PLOS ONE,2019,14,10.1371/journal.pone.0212355,me,maybe,,
"Luo, ZM; Liu, JX; Zhao, PY; Jia, T; Li, C; Chai, BF",Biogeographic Patterns and Assembly Mechanisms of Bacterial Communities Differ Between Habitat Generalists and Specialists Across Elevational Gradients,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00169,me,maybe,,
"Menendez-Serra, M; Triado-Margarit, X; Castaneda, C; Herrero, J; Casamayor, EO","Microbial composition, potential functional roles and genetic novelty in gypsum-rich and hypersaline soils of Monegros and Gallocanta (Spain)",SCIENCE OF THE TOTAL ENVIRONMENT,2019,650,10.1016/j.scitotenv.2018.09.050,me,maybe,,
"Li, GH; Su, L; Zhang, QQ; Zhang, XL; Gong, J",Molecular diversity and biogeography of benthic ciliates in the Bohai Sea and Yellow Sea,ACTA OCEANOLOGICA SINICA,2019,38,10.1007/s13131-018-1236-y,me,maybe,,
"Landesman, WJ; Freedman, ZB; Nelson, DM","Seasonal, sub-seasonal and diurnal variation of soil bacterial community composition in a temperate deciduous forest",FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz002,me,maybe,,
"Shen, CC; Shi, Y; Fan, KK; He, JS; Adams, JM; Ge, Y; Chu, HY",Soil pH dominates elevational diversity pattern for bacteria in high elevation alkaline soils on the Tibetan Plateau,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz003,me,maybe,,
"Yang, YZ; Gao, YC; Huang, XN; Ni, P; Wu, YN; Deng, Y; Zhan, AB",Adaptive shifts of bacterioplankton communities in response to nitrogen enrichment in a highly polluted river,ENVIRONMENTAL POLLUTION,2019,245,10.1016/j.envpol.2018.11.002,me,maybe,,
"Neupane, S; Goyer, C; Zebarth, BJ; Li, S; Whitney, S",Soil bacterial communities exhibit systematic spatial variation with landform across a commercial potato field,GEODERMA,2019,335,10.1016/j.geoderma.2018.08.016,me,YES,,
"Liu, JJ; Yu, ZH; Yao, Q; Sui, YY; Shi, Y; Chu, HY; Tang, CX; Franks, AE; Jin, J; Liu, XB; Wang, GH",Biogeographic Distribution Patterns of the Archaeal Communities Across the Black Soil Zone of Northeast China,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.00023,me,YES,,
"Plassart, P; Prevost-Boure, NC; Uroz, S; Dequiedt, S; Stone, D; Creamer, R; Griffiths, RI; Bailey, MJ; Ranjard, L; Lemanceau, P","Soil parameters, land use, and geographical distance drive soil bacterial communities along a European transect",SCIENTIFIC REPORTS,2019,9,10.1038/s41598-018-36867-2,me,YES,,
"Vitulo, N; Lemos, WJF; Calgaro, M; Confalone, M; Felis, GE; Zapparoli, G; Nardi, T",Bark and Grape Microbiome of Vitis vinifera: Influence of Geographic Patterns and Agronomic Management on Bacterial Diversity,FRONTIERS IN MICROBIOLOGY,2019,9,10.3389/fmicb.2018.03203,me,maybe,,
"Xue, K; Zhang, BA; Zhou, ST; Ran, QW; Tang, L; Che, RX; Pang, Z; Wang, F; Wang, D; Zhang, J; Jiang, LL; Hu, RH; Cui, XY; Hao, YB; Wang, YF",Soil microbial communities in alpine grasslands on the Tibetan Plateau and their influencing factors,CHINESE SCIENCE BULLETIN-CHINESE,2019,64,10.1360/TB-2019-0090,me,maybe,,
"Valle, FM; Moreno, V; Silvestro, L; Castellari, C; Delfino, AD; Andreoli, Y; Picone, L",FUNGAL DIVERSITY IN SOILS WITH DIFFERENT USES IN THE PAMPEAN REGION OF ARGENTINA,CHILEAN JOURNAL OF AGRICULTURAL & ANIMAL SCIENCES,2019,35,10.4067/S0719-38902019005000301,me,maybe,,
"Vimercati, L; Solon, AJ; Krinsky, A; Aran, P; Porazinska, DL; Darcy, JL; Dorador, C; Schmidt, SK",Nieves penitentes are a new habitat for snow algae in one of the most extreme high-elevation environments on Earth,ARCTIC ANTARCTIC AND ALPINE RESEARCH,2019,51,10.1080/15230430.2019.1618115,me,maybe,,
"Els, N; Baumann-Stanzer, K; Larose, C; Vogel, TM; Sattler, B","Beyond the planetary boundary layer: Bacterial and fungal vertical biogeography at Mount Sonnblick, Austria",GEO-GEOGRAPHY AND ENVIRONMENT,2019,6,10.1002/geo2.69,me,maybe,,
"Liang, YM; He, XY; Chen, XB; Hu, YJ; Su, YR",Nitrogen-Fixing Bacterial Communities Exhibit Strong Spatial Structure along a Slope Gradient in Karst Shrublands Ecosystem,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,2019,28,10.15244/pjoes/94383,me,YES,,
"Wemheuer, F; von Hoyningen-Huene, AJE; Pohlner, M; Degenhardt, J; Engelen, B; Daniel, R; Wemheuer, B",Primary Production in the Water Column as Major Structuring Element of the Biogeographical Distribution and Function of Archaea in Deep-Sea Sediments of the Central Pacific Ocean,ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,2019,,10.1155/2019/3717239,me,maybe,,
"Meng, H; Zhou, ZC; Wu, RN; Wang, YF; Gu, JD",Diazotrophic microbial community and abundance in acidic subtropical natural and re-vegetated forest soils revealed by high-throughput sequencing of nifH gene,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,2019,103,10.1007/s00253-018-9466-7,me,maybe,,
"Yeh, CF; Soininen, J; Teittinen, A; Wang, JJ",Elevational patterns and hierarchical determinants of biodiversity across microbial taxonomic scales,MOLECULAR ECOLOGY,2019,28,10.1111/mec.14935,me,maybe,,
"de Melo, ML; Bertilsson, S; Amaral, JHF; Barbosa, PM; Forsberg, BR; Sarmento, H",Flood pulse regulation of bacterioplankton community composition in an Amazonian floodplain lake,FRESHWATER BIOLOGY,2019,64,10.1111/fwb.13198,me,maybe,,
"Navratilova, D; Tlaskalova, P; Kohout, P; Drevojan, P; Fajmon, K; Chytry, M; Baldrian, P",Diversity of fungi and bacteria in species-rich grasslands increases with plant diversity in shoots but not in roots and soil,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiy208,me,YES,,
"Habtom, H; Pasternak, Z; Matan, O; Azulay, C; Gafny, R; Jurkevitch, E",Applying microbial biogeography in soil forensics,FORENSIC SCIENCE INTERNATIONAL-GENETICS,2019,38,10.1016/j.fsigen.2018.11.010,me,YES,,
