"authors","title","journal","abstract","year","vol","DOI","reviewer","screened"
"Zhang, GL; Bai, JH; Jia, J; Wang, W; Wang, X; Zhao, QQ; Lu, QQ","Shifts of soil microbial community composition along a short-term invasion chronosequence of Spartina alterniflora in a Chinese estuary","SCIENCE OF THE TOTAL ENVIRONMENT","Exotic plant invasion can alter native soil microbial community composition, and further influence the biogeochemical processes. Little information is available about the impacts of the invasion chronosequence of Spartina alterniflora on the dynamics of soil microbial community. Soil microbial community in coastal salt marshes invaded by S. alterniflora and reference wetlands covered by Suaeda salsa were investigated using phospholipid fatty acids (PLFAs) profiling along a short-term chronosequence (i.e., 2-, 5- and 10-year) of S. alterniflora invasion in the Yellow River Estuary. Results exhibited an increase in soil moisture, soil organic matter (SOM), soil dissolved organic carbon (DOC), total nitrogen (TN) and the total of PLFAs with increasing invasion ages of S. alterntflora in these coastal salt marshes. Comparatively, soil pH and bulk density exhibited a weak decline along the invasion chronosequence. The elevated values of relative abundance of fungi and the ratios of fungi: bacteria (F/B) in all invaded salt marshes were mainly associated with the accumulation of soil available substrate (e.g., SOM, DOC and TN). S. alterniflora invasion also increased the ratios of gram-positive/gram-negative (G+/G-) bacterial PLFAs, with the highest value occurring in the 2-year invaded salt marshes. The bacterial stress indicated by ratios of cy17:0/16:1 omega 7c and cy19:0/18:1 omega 7c consistently decreased along the invasion chronosequence. In conclusion, the shifts of soil microbial community composition were tightly associated with soil variables, such as soil pH and soil nutrient supply. Our findings reflect the short-term chronological effects of S. alterniflora invasion on the soil physicochemical characteristics and microbial communities, which contributes to the linkage between the plant invasion and soil development of coastal salt marshes. (C) 2018 Elsevier B.V. All rights reserved.","2019","657","10.1016/j.scitotenv.2018.12.061","me","not yet"
"Morales, SE; Biswas, A; Herndl, GJ; Baltar, F","Global Structuring of Phylogenetic and Functional Diversity of Pelagic Fungi by Depth and Temperature","FRONTIERS IN MARINE SCIENCE","Fungal contributions to ecosystem processes are well documented for terrestrial systems yet oceans, which account for most of the Earths surface, have remained poorly explored with regards to organisms in this kingdom. Here, we demonstrate that, although in low relative abundance (i.e., fungal reads made up 1.4-2.9% of the metagenomes), fungi contribute to both phylogenetic and functional microbial diversity with a conserved fungal presence in global marine samples. Universally distributed taxa and functions implicate them in complex carbon and fatty acid metabolism, with depth stratification along pelagic zones. Functional differences in observed genes between epipelagic and mesopelagic waters indicate changes in UV protection, shift to carbohydrate limited diets, as well as alternative energy sources. Metagenomic data also provided evidence for a latitudinal gradient in fungal diversity linked to temperature shifts. Our results suggest that fungi contribute to multiple biogeochemical cycles in the pelagic ocean, and could be integral for ecosystem functioning through provision of key nutrients.","2019","6","10.3389/fmars.2019.00131","me","not yet"
"Amend, AS; Cobian, GM; Laruson, AJ; Remple, K; Tucker, SJ; Poff, KE; Antaky, C; Boraks, A; Jones, CA; Kuehu, D; Lensing, BR; Pejhanmehr, M; Richardson, DT; Riley, PP","Phytobiomes are compositionally nested from the ground up","PEERJ","Plant-associated microbes are critical players in host health, fitness and productivity. Despite microbes importance in plants, seeds are mostly sterile, and most plant microbes are recruited from an environmental pool. Surprisingly little is known about the processes that govern how environmental microbes assemble on plants in nature. In this study we examine how bacteria are distributed across plant parts, and how these distributions interact with spatial gradients. We sequenced amplicons of bacteria from the surfaces of six plant parts and adjacent soil of Scaevola taccada, a common beach shrub, along a 60 km transect spanning Oahu islands windward coast, as well as within a single intensively-sampled site. Bacteria are more strongly partitioned by plant part as compared with location. Within S. taccada plants, microbial communities are highly nested: soil and rhizosphere communities contain much of the diversity found elsewhere, whereas reproductive parts fall at the bottom of the nestedness hierarchy. Nestedness patterns suggest either that microbes follow a source/sink gradient from the ground up, or else that assembly processes correlate with other traits, such as tissue persistence, that are vertically stratified. Our work shines light on the origins and determinants of plant-associated microbes across plant and landscape scales.","2019","7","10.7717/peerj.6609","me","not yet"
"Malesevic, M; Mirkovic, N; Lozo, J; Novovic, K; Filipic, B; Kojic, M; Jovcic, B","Bacterial Diversity among the Sediments of Glacial Lakes in the Western Balkans: Exploring the Impact of Human Population","GEOMICROBIOLOGY JOURNAL","16S rRNA gene-based metagenomic approach was used to assess the biodiversity of bacterial communities in the sediments of selected glacial lakes in the Western Balkans and to assess the impact of human population on these microbial communities. Sediment samples were collected from three glacial lakes, viz., Plav Lake (in a zone of the highest impact of human population), Black Lake (a zone of medium impact of human population), and Donje Bare Lake (a remote lake with minimal impact of human population). Canonical correlation analysis analysis indicated correlation between the distance of the lake from urbanized population and bacterial diversity in Donje Bare Lake sediment. Bacterial diversity of Black Lake sediment was correlated with high content of phosphorous and pH value. Chemical compounds exhibiting the most prominent correlation with bacterial diversity of Plav Lake were NH4-N, K2O, CaCo3, and total nitrogen . Additionally, CCA analysis indicated that population density was correlated with biodiversity of bacterial communities in Plav Lake sediment, which is the most exposed to human population. Multivariate regression revealed the highest correlation between the presence of Proteobacteria classes and population density and levels of NH4-N. The influence of human population was observed to be important for shaping the sediment communities in addition to biological and chemical factors.","2019","36","10.1080/01490451.2018.1550128","me","not yet"
"Peoples, LM; Grammatopoulou, E; Pombrol, M; Xu, XX; Osuntokun, O; Blanton, J; Allen, EE; Nunnally, CC; Drazen, JC; Mayor, DJ; Bartlett, DH","Microbial Community Diversity Within Sediments From Two Geographically Separated Hadal Trenches","FRONTIERS IN MICROBIOLOGY","Hadal ocean sediments, found at sites deeper than 6,000 m water depth, are thought to contain microbial communities distinct from those at shallower depths due to high hydrostatic pressures and higher abundances of organic matter. These communities may also differ from one other as a result of geographical isolation. Here we compare microbial community composition in surficial sediments of two hadal environments-the Mariana and Kermadec trenches-to evaluate microbial biogeography at hadal depths. Sediment microbial consortia were distinct between trenches, with higher relative sequence abundances of taxa previously correlated with organic matter degradation present in the Kermadec Trench. In contrast, the Mariana Trench, and deeper sediments in both trenches, were enriched in taxa predicted to break down recalcitrant material and contained other uncharacterized lineages. At the 97% similarity level, sequence-abundant taxa were not trench-specific and were related to those found in other hadal and abyssal habitats, indicating potential connectivity between geographically isolated sediments. Despite the diversity of microorganisms identified using culture-independent techniques, most isolates obtained under in situ pressures were related to previously identified piezophiles. Members related to these same taxa also became dominant community members when native sediments were incubated under static, long-term, unamended high-pressure conditions. Our results support the hypothesis that there is connectivity between sediment microbial populations inhabiting the Mariana and Kermadec trenches while showing that both whole communities and specific microbial lineages vary between trench of collection and sediment horizon depth. This in situ biodiversity is largely missed when incubating samples within pressure vessels and highlights the need for revised protocols for high-pressure incubations.","2019","10","10.3389/fmicb.2019.00347","me","not yet"
"Shelef, O; Hahn, PG; Getman-Pickering, Z; Medina, AM","Coming to Common Ground: The Challenges of Applying Ecological Theory Developed Aboveground to Rhizosphere Interactions","FRONTIERS IN ECOLOGY AND EVOLUTION","Accumulating evidence supports the importance of belowground interactions for plant performance, ecosystem functioning, and conservation biology. However, studying species interactions belowground has unique challenges relative to the aboveground realm. The structure of the media and spatial scale are among the key aspects that seem to strongly influence belowground interactions. As a consequence, our understanding of species interactions belowground is limited, at least compared to what is known about interactions aboveground. Here we address the general question: Do the ecological concepts that have been developed largely in aboveground systems apply to understanding species interactions in the rhizosphere? We first explore to what extent ecological concepts related to species interactions are considered in rhizosphere studies across various subdisciplines. Next, we explore differences and similarities above-and belowground for fundamental concepts in ecology, choosing topics that are underrepresented in rhizosphere studies but represent a swath of concepts: species diversity, island biogeography, self-organization and ecosystem engineering, trophic cascades, and chemical communication. Finally, we highlight to overcome major challenges of current methodologies to study rhizosphere interactions in order to advance the understanding of belowground interactions in an ecological context. By synthesizing literature related to rhizosphere interactions, we reveal similarities, as well as key differences, in how fundamental ecological concepts are used and tested in above-and belowground studies. Closing the knowledge gaps identified in our synthesis will promote a deeper understanding of the differences above-and belowground and ultimately lead to integration of these concepts.","2019","7","10.3389/fevo.2019.00058","me","not yet"
"Swift, S; Munroe, S; Im, C; Tipton, L; Hynson, NA","Remote tropical island colonization does not preclude symbiotic specialists: new evidence of mycorrhizal specificity across the geographic distribution of the Hawaiian endemic orchid Anoectochilus sandvicensis","ANNALS OF BOTANY","Background and Aims For symbiotic organisms, their colonization and spread across remote oceanic islands should favour generalists. Plants that form obligate symbiotic associations with microbes dominate island ecosystems, but the relationship between island inhabitance and symbiotic specificity is unclear, especially in the tropics. To fill this gap, we examined the mycorrhizal specificity of the Hawaiian endemic orchid Anoectochilus sandvicensis across multiple populations encompassing its entire geographic distribution. Methods By molecular phylogenetic approaches we identified the mycorrhizal fungi associated with A. sandvicensis across its entire geographic distribution and determined the relationship of these fungi to others found elsewhere around the globe. With richness estimators, we assessed the mycorrhizal specificity of A. sandvicensis within and among islands. We then tested whether geographic proximity of orchid populations was a significant predictor for the presence of particular mycorrhizal fungi and their community composition. Key Results We found that each population of A. sandvicensis forms specific associations with one of three fungi in the genus Ceratobasidium and that the closest relatives of these fungi are globally widespread. Based on diversity indices, A. sandvicensis populations were estimated to partner with one to four mycorrhizal taxa with an estimated total of four compatible mycorrhizal fungi across its entire distribution. However, the geographic proximity of orchid populations was not a significant predictor of mycorrhizal fungal community composition. Conclusions Our findings indicate that the colonization and survival of plant species on even the most remote oceanic islands is not restricted to symbiotic generalists, and that partnering with few, but cosmopolitan microbial symbionts is an alternative means for successful island establishment. We suggest that the spatial distribution and abundance of symbionts in addition to island age, size and isolation should also be taken into consideration for predictions of island biodiversity.","2019","123","10.1093/aob/mcy198","me","not yet"
"Wang, P; Zhao, J; Xiao, HY; Yang, WJ; Yu, XF","Bacterial community composition shaped by water chemistry and geographic distance in an anthropogenically disturbed river","SCIENCE OF THE TOTAL ENVIRONMENT","Core bacterial communities, bacterial species that are found consistently throughout a river continuum, have previously been identified. However, variations in core and non-core bacterial community structure, as well as the relationships between these communities and water chemistry or geographic distance have not been well studied. Here, we sampled in the entire course of the Lean River, China, and explored the bacterial community composition at each site using Illumina high-throughput sequencing. The proportion of sequence reads assigned to the core community was similar to 95% in the upper and middle reaches, gradually decreasing below 90% in the lower reaches. Both the Chao1 richness index and the Shannon diversity index of the bacterial communities were significantly higher in the wet season than in the dry season, and both indices increased slightly from upstream to downstream. The variation in the non-core community was more aggregated from upstream to downstream in the wet season than in the dry season, while the aggregation of the core community was similar between the dry season and the wet season. The proportion of typical freshwater bacterial was significantly higher in the core community than in the non-core community. NO3--N was the subset of water chemistry parameters that best explained bacterial community dissimilarities, while river length was the subset of geographic distance parameters that best explained bacterial community dissimilarities. Water chemistry parameters explained more of the variations in the bacterial communities than did geographic distance, especially in the dry season. However, the correlation betweenwater chemistry and bacteriawas primarily due to collective allochthonous input (mass effects), not because of any nutritious or toxic effects on bacterial growth competition (species sorting). The greater influence of the mass effects, as compared to species sorting, on bacterial community structure was due to the allochthonous input of bacteria from anthropogenic sources. (c) 2018 Elsevier B.V. All rights reserved.","2019","655","10.1016/j.scitotenv.2018.11.234","me","not yet"
"George, PBL; Lallias, D; Creer, S; Seaton, FM; Kenny, JG; Eccles, RM; Griffiths, RI; Lebron, I; Emmett, BA; Robinson, DA; Jones, DL","Divergent national-scale trends of microbial and animal biodiversity revealed across diverse temperate soil ecosystems","NATURE COMMUNICATIONS","Soil biota accounts for similar to 25% of global biodiversity and is vital to nutrient cycling and primary production. There is growing momentum to study total belowground biodiversity across large ecological scales to understand how habitat and soil properties shape belowground communities. Microbial and animal components of belowground communities follow divergent responses to soil properties and land use intensification; however, it is unclear whether this extends across heterogeneous ecosystems. Here, a national-scale metabarcoding analysis of 436 locations across 7 different temperate ecosystems shows that belowground animal and microbial (bacteria, archaea, fungi, and protists) richness follow divergent trends, whereas beta-diversity does not. Animal richness is governed by intensive land use and unaffected by soil properties, while microbial richness was driven by environmental properties across land uses. Our findings demonstrate that established divergent patterns of belowground microbial and animal diversity are consistent across heterogeneous land uses and are detectable using a standardised metabarcoding approach.","2019","10","10.1038/s41467-019-09031-1","me","not yet"
"Karimi, B; Dequiedt, S; Terrat, S; Jolivet, C; Arrouays, D; Wincker, P; Cruaud, C; Bispo, A; Prevost-Boure, NC; Ranjard, L","Biogeography of Soil Bacterial Networks along a Gradient of Cropping Intensity","SCIENTIFIC REPORTS","Although land use drives soil bacterial diversity and community structure, little information about the bacterial interaction networks is available. Here, we investigated bacterial co-occurrence networks in soils under different types of land use (forests, grasslands, crops and vineyards) by sampling 1798 sites in the French Soil Quality Monitoring Network covering all of France. An increase in bacterial richness was observed from forests to vineyards, whereas network complexity respectively decreased from 16,430 links to 2,046. However, the ratio of positive to negative links within the bacterial networks ranged from 2.9 in forests to 5.5 in vineyards. Networks structure was centered on the most connected genera (called hub), which belonged to Bacteroidetes in forest and grassland soils, but to Actinobacteria in vineyard soils. Overall, our study revealed that soil perturbation due to intensive cropping reduces strongly the complexity of bacterial network although the richness is increased. Moreover, the hub genera within the bacterial community shifted from copiotrophic taxa in forest soils to more oligotrophic taxa in agricultural soils.","2019","9","10.1038/s41598-019-40422-y","me","not yet"
"Walsh, MG; Mor, SM; Hossain, S","The elephant-livestock interface modulates anthrax suitability in India","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Anthrax is a potentially life-threatening bacterial disease that can spread between wild and livestock animals and humans. Transmission typically occurs indirectly via environmental exposure, with devastating consequences for human and animal health, as well as pastoralist economies. India has a high annual occurrence of anthrax in some regions, but a country-wide delineation of risk has not yet been undertaken. The current study modelled the geographical suitability of anthrax across India and its associated environmental features using a biogeographic application of machine learning. Both biotic and abiotic features contributed to risk across multiple scales of influence. The elephant-livestock interface was the dominant feature in delineating anthrax suitability. In addition, water-soil balance, soil chemistry and historical forest loss were also influential. These findings suggest that the elephant-livestock interface plays an important role in the cycling of anthrax in India. Livestock prevention efforts targeting this interface, particularly within anthropogenic ecotones, may yield successes in reducing ongoing transmission between animal hosts and subsequent zoonotic transmission to humans.","2019","286","10.1098/rspb.2019.0179","me","not yet"
"Booth, JM; Fusi, M; Marasco, R; Mbobo, T; Daffonchio, D","Fiddler crab bioturbation determines consistent changes in bacterial communities across contrasting environmental conditions","SCIENTIFIC REPORTS","Ecosystem functions are regulated by compositional and functional traits of bacterial communities, shaped by stochastic and deterministic processes. Biogeographical studies have revealed microbial community taxonomy in a given ecosystem to change alongside varying environmental characteristics. Considering that stable functional traits are essential for community stability, we hypothesize that contrasting environmental conditions affect microbial taxonomy rather than function in a model system, testing this in three geographically distinct mangrove forests subjected to intense animal bioturbation (a shared deterministic force). Using a metabarcoding approach combined with sediment microprofiling and biochemistry, we examined vertical and radial sediment profiles of burrows belonging to the pantropica I fiddler crab (subfamily Gelasiminae) in three contrasting mangrove environments across a broad latitudinal range (total samples= 432). Each mangrove was environmentally distinct, reflected in taxonomically different bacterial communities, but communities consistently displayed the same spatial stratification (a halo effect) around the burrow which invariably determined the retention of similar inferred functional community traits independent of the local environment.","2019","9","10.1038/s41598-019-40315-0","me","not yet"
"Li, BL; Ge, Y; Cheng, L; Zeng, BH; Yu, JZ; Peng, X; Zhao, JH; Li, WX; Ren, B; Li, MY; Wei, H; Zhou, XD","Oral bacteria colonize and compete with gut microbiota in gnotobiotic mice","INTERNATIONAL JOURNAL OF ORAL SCIENCE","The oral microbiota is associated with oral diseases and digestive systemic diseases. Nevertheless, the causal relationship between them has not been completely elucidated, and colonisation of the gut by oral bacteria is not clear due to the limitations of existing research models. The aim of this study was to develop a human oral microbiota-associated (HOMA) mouse model and to investigate the ecological invasion into the gut. By transplanting human saliva into germ-free (GF) mice, a HOMA mouse model was first constructed. 16S rRNA gene sequencing was used to reveal the biogeography of oral bacteria along the cephalocaudal axis of the digestive tract. In the HOMA mice, 84.78% of the detected genus-level taxa were specific to the donor. Principal component analysis (PCA) revealed that the donor oral microbiota clustered with those of the HOMA mice and were distinct from those of specific pathogen-free (SPF) mice. In HOMA mice, OTU counts decreased from the stomach and small intestine to the distal gut. The distal gut was dominated by Streptococcus, Veillonella, Haemophilus, Fusobacterium, Trichococcus and Actinomyces. HOMA mice and human microbiota-associated (HMA) mice along with the GF mice were then cohoused. Microbial communities of cohoused mice clustered together and were significantly separated from those of HOMA mice and HMA mice. The Source Tracker analysis and network analysis revealed more significant ecological invasion from oral bacteria in the small intestines, compared to the distal gut, of cohoused mice. In conclusion, a HOMA mouse model was successfully established. By overcoming the physical and microbial barrier, oral bacteria colonised the gut and profiled the gut microbiota, especially in the small intestine.","2019","11","10.1038/s41368-018-0043-9","me","not yet"
"Jiao, S; Xu, YQ; Zhang, J; Hao, X; Lu, YH","Core Microbiota in Agricultural Soils and Their Potential Associations with Nutrient Cycling","MSYSTEMS","Revealing the ecological roles of the core microbiota in community maintaining and soil nutrient cycling is crucial for understanding ecosystem function, yet there is a dearth of continental-scale studies on this fundamental topic in microbial ecology. Here, we collected 251 soil samples from adjacent pairs of maize and rice fields at a continental scale in eastern China. We revealed the major ecological roles of the core microbiota in maintaining complex connections between bacterial taxa and their associations with belowground multinutrient cycling. By identifying the habitat preferences of the core microbiota, we built a continental atlas for mapping the spatial distributions of bacteria in agro-soils, which helps forecast the responses of agricultural ecosystems to anthropogenic disturbance. The multinutrient cycling index for maize and rice soils was related to bacterial alpha-diversity and beta-diversity, respectively. Rice soils exhibited higher bacterial diversity and closer bacterial cooccurrence relationships than maize soils. In contrast to the macro- or microecological latitudinal richness patterns in natural terrestrial ecosystems, the bacteria in maize soils showed higher richness at high latitudes; however, this trend was not observed in rice soils. This study provides a new perspective on the distinct bacterial biogeographic patterns to predict the ecological roles of the core microbiota in agro-soils and thus helps manage soil bacterial communities for better provisioning of key ecosystem services. IMPORTANCE Disentangling the roles of the core microbiota in community maintaining and soil nutrient cycling is an important yet poorly understood topic in microbial ecology. This study presents an exploratory effort to gain predictive understanding of the spatial atlas and ecological roles of the core microbiota. A systematic, continental-scale survey was conducted using agro-soils in adjacent pairs of maize (dryland) and rice (wetland) fields across eastern China. The results indicate that the core microbiota play major ecological roles in maintaining complex connections between bacterial taxa and are associated with belowground multinutrient cycling. A continental atlas was built for mapping the bacterial spatial distributions in agro-soils through identifying their habitat preferences. This study represents a significant advance in forecasting the responses of agricultural ecosystems to anthropogenic disturbance and thus helps manage soil bacterial communities for better provisioning of key ecosystem services-the ultimate goal of microbial ecology.","2019","4","10.1128/mSystems.00313-18","me","not yet"
"Cho, HJ; Tripathi, BM; Moroenyane, I; Takahashi, K; Kerfahi, D; Dong, K; Adams, JM","Soil pH rather than elevation determines bacterial phylogenetic community assembly on Mt. Norikura","FEMS MICROBIOLOGY ECOLOGY","There is considerable interest in the factors which may explain variation in microbial community assembly processes. In this study, we investigated bacterial community assembly, phylogenetic diversity and the relative role of deterministic and stochastic processes along environmental gradients on Mt. Norikura, Japan. DNA extracted from soil samples collected at a range of elevations was PCR-amplified targeting the V3 and V4 regions of the bacterial 16S rRNA gene, and sequenced using Illumina MiSeq. We hypothesized that elevation would be a strong predictor of phylogenetic community assembly, with communities being more phylogenetically clustered towards higher elevations, due to more extreme physiological conditions. We also hypothesized a greater role of stochasticity at the highest elevations, due to more frequent soil disturbance. Contrary to our hypotheses, we found that the strength of phylogenetic clustering and the role of stochasticity were strongly related to soil pH, with phylogenetic clustering and deterministic processes being strongest at lower soil pH values. Moreover, there was no trend towards stronger influence of phylogenetic clustering and stochasticity in the upper elevations of Mt. Norikura. These results reveal an overwhelming influence of soil pH on phylogenetic community assembly of soil bacteria, even when a range of other environmental gradients are present.","2019","95","10.1093/femsec/fiy216","me","not yet"
"Vlok, M; Lang, AS; Suttle, CA","Marine RNA Virus Quasispecies Are Distributed throughout the Oceans","MSPHERE","RNA viruses, particularly genetically diverse members of the Picornavirales, are widespread and abundant in the ocean. Gene surveys suggest that there are spatial and temporal patterns in the composition of RNA virus assemblages, but data on their diversity and genetic variability in different oceanographic settings are limited. Here, we show that specific RNA virus genomes have widespread geographic distributions and that the dominant genotypes are under purifying selection. Genomes from three previously unknown picorna-like viruses (BC-1, -2, and -3) assembled from a coastal site in British Columbia, Canada, as well as marine RNA viruses JP-A, JP-B, and Heterosigma akashiwo RNA virus exhibited different biogeographical patterns. Thus, biotic factors such as host specificity and viral life cycle, and not just abiotic processes such as dispersal, affect marine RNA virus distribution. Sequence differences relative to reference genomes imply that virus quasispecies are under purifying selection, with synonymous single-nucleotide variations dominating in genomes from geographically distinct regions resulting in conservation of amino acid sequences. Conversely, sequences from coastal South Africa that mapped to marine RNA virus JP-A exhibited more nonsynonymous mutations, probably representing amino acid changes that accumulated over a longer separation. This biogeographical analysis of marine RNA viruses demonstrates that purifying selection is occurring across oceanographic provinces. These data add to the spectrum of known marine RNA virus genomes, show the importance of dispersal and purifying selection for these viruses, and indicate that closely related RNA viruses are pathogens of eukaryotic microbes across oceans. IMPORTANCE Very little is known about aquatic RNA virus populations and genome evolution. This is the first study that analyzes marine environmental RNA viral assemblages in an evolutionary and broad geographical context. This study contributes the largest marine RNA virus metagenomic data set to date, substantially increasing the sequencing space for RNA viruses and also providing a baseline for comparisons of marine RNA virus diversity. The new viruses discovered in this study are representative of the most abundant family of marine RNA viruses, the Marnaviridae, and expand our view of the diversity of this important group. Overall, our data and analyses provide a foundation for interpreting marine RNA virus diversity and evolution.","2019","4","10.1128/mSphereDirect.00157-19","me","not yet"
"Montserrat, F; Guilhon, M; Correa, PVF; Bergo, NM; Signori, CN; Tura, PM; Maly, MD; Moura, D; Jovane, L; Pellizari, V; Sumida, PYG; Brandini, FP; Turra, A","Deep-sea mining on the Rio Grande Rise (Southwestern Atlantic): A review on environmental baseline, ecosystem services and potential impacts","DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","The Rio Grande Rise is an extensive seamount region in the South-western Atlantic, with potential for deep-sea mining activities in the future. Such activities pose significant long-term disturbances and potentially severe impacts to both ecosystem structure and functioning, as well as associated ecosystem services. The Rio Grande Rise presents a severely understudied area, with very little knowledge on either local and regional scales. Most detailed knowledge available is centered on highly localised geological information and interpolated and/or modelled environmental data, while high-resolution data on biogeography, ecosystem processes and functioning are lacking. The Rio Grande Rise is most likely a remnant of the Parana-Etendeka igneous province, and formed when the African and South-American plates separated to form the Southern Atlantic basin, about 75 million years ago. More recent cruises have generated very local and high-resolution acoustic impedance data on the substrate, showing extremely dense layers, likely to be cobalt-rich crusts and underlying bedrock, interspersed with thick sediment layers. Literature studies revealed that nowadays the Rise appears to be located within a relatively low-productivity oceanic region. Open-database mining yielded large-scale, extrapolated environmental data rasters, which show the Rise to be an oceanic region relatively free of pollution and anthropogenic disturbances, with high geomorphological heterogeneity and potential for high biodiversity. This image was confirmed in a small number of scientific submarine cruises, where a diverse range of seascapes was observed, from soft sediment to carbonate pavement and cobalt crust outcrops. Especially the latter substrata were found to be inhabited by diverse benthic communities, dominated by sessile organisms, presenting three-dimensional structural heterogeneity and with associated vertebrate and invertebrate animals. Cobalt-rich crusts appear to grow at an extremely slow rate of several mm per million years, in the deep ocean where biological and ecological processes such as reproduction, growth and recolonisation are characterised by slow dynamics. The main disturbances posed by deep-sea mining of cobalt-rich crusts on the Rio Grande Rise consist of (1) complete removal of substrate with its particular benthic communities, (2) strong localised increases in suspended particulate matter, causing smothering of breathing apparatus and dilution of food particles, (3) crushing by tailings and overburden and (4) toxicity effects by released metals and other toxic substances, likely to be increased under high pressure. These impacts will likely change the deep-sea ecosystem at the Rio Grande Rise and its functioning for time scales in the order of decades to centuries. State-of-the-art geological, environmental and ecological modelling, complemented with high-quality, fine-resolution data are needed to provide a detailed evaluation of the impacts of cobalt-rich ferromanganese crust mining in the Rio Grande Rise, with the goal to formulate strategic environmental management plans.","2019","145","10.1016/j.dsr.2018.12.007","me","not yet"
"Nasko, DJ; Ferrell, BD; Moore, RM; Bhavsar, JD; Polson, SW; Wommack, KE","CRISPR Spacers Indicate Preferential Matching of Specific Virioplankton Genes","MBIO","Viral infection exerts selection pressure on marine microbes, as virus-induced cell lysis causes 20 to 50% of cell mortality, resulting in fluxes of bio-mass into oceanic dissolved organic matter. Archaeal and bacterial populations can defend against viral infection using the clustered regularly interspaced short palindromic repeat (CRISPR)-associated (Cas) system, which relies on specific matching between a spacer sequence and a viral gene. If a CRISPR spacer match to any gene within a viral genome is equally effective in preventing lysis, no viral genes should be preferentially matched by CRISPR spacers. However, if there are differences in effectiveness, certain viral genes may demonstrate a greater frequency of CRISPR spacer matches. Indeed, homology search analyses of bacterioplankton CRISPR spacer sequences against virioplankton sequences revealed preferential matching of replication proteins, nucleic acid binding proteins, and viral structural proteins. Positive selection pressure for effective viral defense is one parsimonious explanation for these observations. CRISPR spacers from virioplankton metagenomes preferentially matched methyltransferase and phage integrase genes within virioplankton sequences. These virioplankton CRISPR spacers may assist infected host cells in defending against competing phage. Analyses also revealed that half of the spacer-matched viral genes were unknown, some genes matched several spacers, and some spacers matched multiple genes, a many-tomany relationship. Thus, CRISPR spacer matching may be an evolutionary algorithm, agnostically identifying those genes under stringent selection pressure for sustaining viral infection and lysis. Investigating this subset of viral genes could reveal those genetic mechanisms essential to virus-host interactions and provide new technologies for optimizing CRISPR defense in beneficial microbes. IMPORTANCE The CRISPR-Cas system is one means by which bacterial and archaeal populations defend against viral infection which causes 20 to 50% of cell mortality in the ocean. We tested the hypothesis that certain viral genes are preferentially targeted for the initial attack of the CRISPR-Cas system on a viral genome. Using CASC, a pipeline for CRISPR spacer discovery, and metagenome data from oceanic microbes and viruses, we found a clear subset of viral genes with high match frequencies to CRISPR spacers. Moreover, we observed a many-to-many relationship of spacers and viral genes. These high-match viral genes were involved in nucleotide metabolism, DNA methylation, and viral structure. It is possible that CRISPR spacer matching is an evolutionary algorithm pointing to those viral genes most important to sustaining infection and lysis. Studying these genes may advance the understanding of virus-host interactions in nature and provide new technologies for leveraging CRISPR-Cas systems in beneficial microbes.","2019","10","10.1128/mBio.02651-18","me","not yet"
"Zeglin, LH; Crenshaw, CL; Dahm, CN; Sheibley, RW; Takacs-Vesbach, CD","Watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity","FRESHWATER SCIENCE","Microbiota in streams drive many ecosystem functions, including whole-stream metabolism, nitrogen (N) cycling, and the production of basal resources that fuel stream food webs. Interactions between surface water and shallow, subsurface groundwater produce the oxygen and nutrient gradients that influence these microbially mediated biogeochemical functions. Microbial nutrient processing is often limited by nutrient availability, but we lack a clear understanding of the relationships between hydrology, water chemistry, microbial composition, and nutrient cycling. In this study we evaluated the prediction that the microbial (bacterial and archaeal) assemblage composition in surface and subsurface water (both within and among stream reaches) would be related to dissolved nutrient concentrations, surface-subsurface hydrologic connectivity, and reach-scale N cycling rates. To evaluate our predictions, we collected data on water chemistry, whole-stream hydrological connectivity, biogeochemical function, and surface and subsurface water microbial assemblage composition at 6 streams in the southwestern USA. We found no correlation between microbial assemblage composition and stream nutrient concentrations or cycling rates, but observed that subsurface waters in some streams had higher taxonomic richness than surface waters. Instead, differences in microbial assemblage composition among the study streams were correlated with both watershed size and stream water Br- concentrations. These results suggest that the longer, deeper groundwater flowpaths in larger watersheds, which promote solute accumulation, influence streamwater microbial assemblage composition. These contrasting streamwater microbial assemblages were associated with different reach-scale sinks for N immobilization (fine benthic organic matter versus filamentous algae). Overall, results suggest that the catchment-scale history of water movement, and salinity, may affect both microbial diversity and the fate of N. The mechanisms by which stream microbial diversity influences ecosystem function require more attention. In particular, we need a better understanding of how microbial biogeography is influenced by the spatiotemporal heterogeneity of stream ecosystems.","2019","38","10.1086/701597","me","not yet"
