AU	TI	SO	AB	PY	DI
Moreno-Letelier, A; Olmedo-Alvarez, G; Eguiarte, LE; Souza, V	Divergence and Phylogeny of Firmicutes from the Cuatro Cienegas Basin, Mexico: A Window to an Ancient Ocean	ASTROBIOLOGY	The Cuatro Cienegas Basin (CCB) has been identified as a center of endemism for many life-forms. Nearly half the bacterial species found in the spring systems have their closest relatives in the ocean. This raises the question of whether the high diversity observed today is the product of an adaptive radiation similar to that of the Galapagos Islands or whether the bacterial groups are survivors of an ancient sea, which would be of interest for astrobiology. To help answer this question, we focused on Firmicutes from Cuatro Cienegas (mainly Bacillus and Exiguobacterium). We reconstructed the phylogenetic relationships of Firmicutes with 28 housekeeping genes and dated the resulting tree using geological events as calibration points. Our results show that marine Bacillus diverged from other Bacillus strains 838 Ma, while Bacillus from Cuatro Cienegas have divergence dates that range from 770 to 202 Ma. The members of Exiguobacterium from the CCB conform to a much younger group that diverged from the Andes strain 60 Ma and from the one in Yellowstone 183 Ma. Therefore, the diversity of Firmicutes in Cuatro Cienegas is not the product of a recent radiation but the product of the isolation of lineages from an ancient ocean. Hence, Cuatro Cienegas is not a Galapagos Archipelago for bacteria but is more like an astrobiological time machine in which bacterial lineages survived in an oligotrophic environment that may be very similar to that of the Precambrian.	2012	10.1089/ast.2011.0685
Brown, MV; Lauro, FM; DeMaere, MZ; Muir, L; Wilkins, D; Thomas, T; Riddle, MJ; Fuhrman, JA; Andrews-Pfannkoch, C; Hoffman, JM; McQuaid, JB; Allen, A; Rintoul, SR; Cavicchioli, R	Global biogeography of SAR11 marine bacteria	MOLECULAR SYSTEMS BIOLOGY	The ubiquitous SAR11 bacterial clade is the most abundant type of organism in the worlds oceans, but the reasons for its success are not fully elucidated. We analysed 128 surface marine metagenomes, including 37 new Antarctic metagenomes. The large size of the data set enabled internal transcribed spacer (ITS) regions to be obtained from the Southern polar region, enabling the first global characterization of the distribution of SAR11, from waters spanning temperatures - 2 to 30 degrees C. Our data show a stable co-occurrence of phylotypes within both tropical (>20 degrees C) and polar (<10 degrees C) biomes, highlighting ecological niche differentiation between major SAR11 subgroups. All phylotypes display transitions in abundance that are strongly correlated with temperature and latitude. By assembling SAR11 genomes from Antarctic metagenome data, we identified specific genes, biases in gene functions and signatures of positive selection in the genomes of the polar SAR11-genomic signatures of adaptive radiation. Our data demonstrate the importance of adaptive radiation in the organisms ability to proliferate throughout the worlds oceans, and describe genomic traits characteristic of different phylotypes in specific marine biomes. Molecular Systems Biology 8: 595; published online 17 July 2012; doi:10.1038/msb.2012.28 Subject Categories: cellular metabolism; microbiology & pathogens	2012	10.1038/msb.2012.28
Rout, ME; Callaway, RM	Interactions between exotic invasive plants and soil microbes in the rhizosphere suggest that oeverything is not everywhere	ANNALS OF BOTANY	The study of soil biota in the context of exotic plant invasions has led to an explosion in our understanding of the ecological roles of many different groups of microbes that function in roots or at the rootsoil interface. Part of this progress has been the emergence of two biogeographic patterns involving invasive plants and soil microbes. First, in their non-native ranges invasive plants commonly interact differently with the same soil microbes than native plants. Second, in their native ranges, plants that are invasive elsewhere commonly interact functionally with soil microbes differently in their home ranges than they do in their non-native ranges. These studies pose a challenge to a long-held paradigm about microbial biogeography the idea that microbes are not limited by dispersal and are thus free from the basic taxonomic, biogeographical and evolutionary framework that characterizes all other life on Earth. As an analogy, the global distribution of animals that function as carnivores does not negate the fascinating evolutionary biogeographic patterns of carnivores. Other challenges to this notion come from new measurements of genetic differences among microbes across geographic boundaries, which also suggest that meaningful biogeographic patterns exist for microorganisms. We expand this discussion of whether or not oeverything is everywhere by using the inherently biogeographic context of plant invasions by reviewing the literature on interactions among invasive plants and the microorganisms in the rhizosphere. We find that these interactions can be delineated at multiple scales: from individual plants to continents. Thus the microbes that regulate major aspects of plant biology do not appear to be exempt from the fundamental evolutionary processes of geographical isolation and natural selection. At the important scales of taxonomy, ecotype and ecosystem functions, the fundamental ecology of invaders and soil microbes indicates that everything might not be everywhere.	2012	10.1093/aob/mcs061
Valverde, A; Tuffin, M; Cowan, DA	Biogeography of bacterial communities in hot springs: a focus on the actinobacteria	EXTREMOPHILES	Actinobacteria are ubiquitous in soil, freshwater and marine ecosystems. Although various studies have focused on the microbial ecology of this phylum, data are scant on the ecology of actinobacteria endemic to hot springs. Here, we have investigated the molecular diversity of eubacteria, with specific focus on the actinobacteria in hot springs in Zambia, China, New Zealand and Kenya. Temperature and pH values at sampling sites ranged between 44.5 and 86.5 A degrees C and 5-10, respectively. Non-metric multidimensional scaling analysis of 16S rRNA gene T-RFLP patterns showed that samples could be separated by geographical location. Multivariate analysis showed that actinobacterial community composition was best predicted by changes in pH and temperature, whereas temperature alone was the most important variable explaining differences in bacterial community structure. Using 16S rRNA gene libraries, 28 major actinobacterial OTUs were found. Both molecular techniques indicated that many of the actinobacterial phylotypes were unique and exclusive to the respective sample. Collectively, these results support the view that both actinobacterial diversity and endemism are high in hot spring ecosystems.	2012	10.1007/s00792-012-0465-9
Hepp, LU; Fornel, R; Restello, RM; Trevisan, A; Santos, S	INTRASPECIFIC MORPHOLOGICAL VARIATION IN A FRESHWATER CRUSTACEAN AEGLA PLANA IN SOUTHERN BRAZIL: EFFECTS OF GEOGRAPHICAL ISOLATION ON CARAPACE SHAPE	JOURNAL OF CRUSTACEAN BIOLOGY	Freshwater ecosystems are characterized by a high spatial complexity. This heterogeneity affects the distribution of aquatic organisms in riverine landscapes. Morphological variation in natural populations is driven by evolutionary forces. In crustaceans, morphological variations have been observed between different basins, environments, or developmental sequences along their geographical distribution. In this study, we assessed the possible effects of spatial scale on the phenotype of Aegla piano Buckup and Rossi, 1977 using geometric morphometrics. We examined 110 adult specimens from three river basins in southern Brazil. We used 13 morphological landmarks for the dorsal view of the carapace; the coordinates were superimposed using a generalized Procrustean analysis. We used a multivariate analysis to test the morphological variation in crabs from different basins, and we employed the Mantel test to assess the relationship of spatial and environmental factors with the principal components matrix for the carapace shape. Populations from different river basins differed significantly in carapace centroid size. Carapace shapes also differed significantly among the river-basin populations, and the interaction between sex and populations was also significant. The environmental and geographical matrices were correlated with the carapace shape matrix. This morphological variation shows an association with the geographical distribution of microbasins, which suggests a biogeographical effect on the distribution of A. plana.	2012	10.1163/193724012X630660
Thaler, M; Lovejoy, C	Distribution and Diversity of a Protist Predator Cryothecomonas (Cercozoa) in Arctic Marine Waters	JOURNAL OF EUKARYOTIC MICROBIOLOGY	Heterotrophic nanoflagellates (HNFs) are key components in microbial food webs, potentially influencing community composition via top-down control of their favored prey or host. Marine cercozoan Cryothecomonas species are parasitoid and predatory HNFs that have been reported from ice, sediments, and the water column. Although Cryothecomonas is frequently reported from Arctic and subarctic seas, factors determining its occurrence are not known. We investigated the temporal and geographic distribution of Cryothecomonas in Canadian Arctic seas during the summer and autumn periods from 2006 to 2010. We developed a Cryothecomonas-specific fluorescent in situ hybridization (FISH) probe targeting ribosomal 18S rRNA to estimate cell concentrations in natural and manipulated samples. Comparison of simple and partial correlation coefficients showed that salinity, depth, and overall community biomass are important factors determining Cryothecomonas abundance. We found no evidence of parasitism in our samples. Hybridized cells included individuals smaller than any formally described Cryothecomonas, suggesting the presence of novel taxa or unknown life stages in this genus. A positive relationship between Cryothecomonas abundance and ice and meltwater suggests that it is a sensitive indicator of ice melt in Arctic water columns.	2012	10.1111/j.1550-7408.2012.00631.x
Rengefors, K; Logares, R; Laybourn-Parry, J	Polar lakes may act as ecological islands to aquatic protists	MOLECULAR ECOLOGY	A fundamental question in ecology is whether microorganisms follow the same patterns as multicellular organisms when it comes to population structure and levels of genetic diversity. Enormous population sizes, predominately asexual reproduction and presumably high dispersal because of small body size could have profound implications on their genetic diversity and population structure. Here, we have analysed the population genetic structure in a lake-dwelling microbial eukaryote (dinoflagellate) and tested the hypothesis that there is population genetic differentiation among nearby lake subpopulations. This dinoflagellate occurs in the marine-derived saline lakes of the Vestfold Hills, Antarctica, which are ice-covered most of the year. Clonal strains were isolated from four different lakes and were genotyped using amplified fragment length polymorphism (AFLP). Our results show high genetic differentiation among lake populations despite their close geographic proximity (<9 km). Moreover, genotype diversity was high within populations. Gene flow in this system is clearly limited, either because of physical or biological barriers. Our results discard the null hypothesis that there is free gene flow among protist lake populations. Instead, limnetic protist populations may differentiate genetically, and lakes act as ecological islands even on the microbial scale.	2012	10.1111/j.1365-294X.2012.05596.x
Gayevskiy, V; Goddard, MR	Geographic delineations of yeast communities and populations associated with vines and wines in New Zealand	ISME JOURNAL	Yeasts are a diverse seemingly ubiquitous group of eukaryotic microbes, and many are naturally associated with fruits. Humans have harnessed yeasts since the dawn of civilisation to make wine, and thus it is surprising that we know little of the distribution of yeast communities naturally associated with fruits. Previous reports of yeast community diversity have been descriptive only. Here we present, we believe, the first robust test for the geographic delineation of yeast communities. Humans have relatively recently employed Saccharomyces cerevisiae as a model research organism, and have long harnessed its ancient adaption to ferment even in the presence of oxygen. However, as far as we are aware, there has not been a rigorous test for the presence of regional differences in natural S. cerevisiae populations before. We combined these community-and population-level questions and surveyed replicate vineyards and corresponding spontaneous ferments from different regions on New Zealands (NZs) North Island and analysed the resulting data with community ecology and population genetic tests. We show that there are distinct regional delineations of yeast communities, but the picture for S. cerevisiae is more complex: there is evidence for region-specific sub-populations but there are also reasonable levels of gene flow among these regions in NZ. We believe this is the first demonstration of regional delineations of yeast populations and communities worldwide. The ISME Journal (2012) 6, 1281-1290; doi:10.1038/ismej.2011.195; published online 22 December 2011	2012	10.1038/ismej.2011.195
Hanson, CA; Fuhrman, JA; Horner-Devine, MC; Martiny, JBH	Beyond biogeographic patterns: processes shaping the microbial landscape	NATURE REVIEWS MICROBIOLOGY	Recently, microbiologists have established the existence of biogeographic patterns among a wide range of microorganisms. The focus of the field is now shifting to identifying the mechanisms that shape these patterns. Here, we propose that four processes - selection, drift, dispersal and mutation - create and maintain microbial biogeographic patterns on inseparable ecological and evolutionary scales. We consider how the interplay of these processes affects one biogeographic pattern, the distance-decay relationship, and review evidence from the published literature for the processes driving this pattern in microorganisms. Given the limitations of inferring processes from biogeographic patterns, we suggest that studies should focus on directly testing the underlying processes.	2012	10.1038/nrmicro2795
De Bie, T; De Meester, L; Brendonck, L; Martens, K; Goddeeris, B; Ercken, D; Hampel, H; Denys, L; Vanhecke, L; Van der Gucht, K; Van Wichelen, J; Vyverman, W; Declerck, SAJ	Body size and dispersal mode as key traits determining metacommunity structure of aquatic organisms	ECOLOGY LETTERS	Relationships between traits of organisms and the structure of their metacommunities have so far mainly been explored with meta-analyses. We compared metacommunities of a wide variety of aquatic organism groups (12 groups, ranging from bacteria to fish) in the same set of 99 ponds to minimise biases inherent to meta-analyses. In the category of passive dispersers, large-bodied groups showed stronger spatial patterning than small-bodied groups suggesting an increasing impact of dispersal limitation with increasing body size. Metacommunities of organisms with the ability to fly (i.e. insect groups) showed a weaker imprint of dispersal limitation than passive dispersers with similar body size. In contrast, dispersal movements of vertebrate groups (fish and amphibians) seemed to be mainly confined to local connectivity patterns. Our results reveal that body size and dispersal mode are important drivers of metacommunity structure and these traits should therefore be considered when developing a predictive framework for metacommunity dynamics.	2012	10.1111/j.1461-0248.2012.01794.x
Chong, CW; Pearce, DA; Convey, P; Yew, WC; Tan, IKP	Patterns in the distribution of soil bacterial 16S rRNA gene sequences from different regions of Antarctica	GEODERMA	Since the advent of 16S rRNA gene-based molecular analysis, an increasing amount of work has been conducted on the Antarctic soil bacterial community. The majority of such studies suggest that the Antarctic soil environment may harbour a greater diversity of bacteria than was previously thought, and indeed that a proportion of the bacterial species found might be unique to the Antarctic. However, few have looked at the distribution of soil sequence types from different biogeographic regions of the continent. Here, we assess the taxonomic distribution of soil bacteria from different regions and latitudes in Antarctica by integrating 16S rRNA gene sequence information from 13 independent studies that, together, obtained samples from 35 locations ranging from 51 degrees S to 78 degrees S. The majority of these formed a transect across the continent, representing most of the ice-free regions of the Antarctic Peninsula and Scott Sector. Using detailed phylogenetic analysis, we found that most of the Antarctic soil environments contained a narrow range of bacterial species when compared to the overall number of sequences available. Further, patterns in the taxonomic distribution of Antarctic soil bacterial communities were significantly correlated to both the underlying soil parameters and geographic (regional) origins. (C) 2012 Elsevier B.V. All rights reserved.	2012	10.1016/j.geoderma.2012.02.017
Yavitt, JB; Yashiro, E; Cadillo-Quiroz, H; Zinder, SH	Methanogen diversity and community composition in peatlands of the central to northern Appalachian Mountain region, North America	BIOGEOCHEMISTRY	Methanogenic archaea are ubiquitous in peat soils; however, their diversity and distributions within and among peatland ecosystems are not well known. We used comprehensive clone libraries of 16S rRNA gene sequences to investigate spatial patterns in diversity (richness, evenness of taxa) and composition (taxonomic, phylogenetic) of the methanogenic community in six peatlands arrayed 775 km from eastern Ontario, Canada to West Virginia, USA. Five sites were Sphagnum (moss) and shrub dominated; one site was sedge dominated; and, potential rates of methane (CH4) production ranged from 15 to 450 nmol/g day. The gradient allowed us to examine influences of site conditions, site history, and climate on community composition. The region had representatives of methanogens from four taxonomic orders. We observed 29 operationally defined units (OTUs) based on > 97% sequence identity. One OTU accounted for 43% of all clones, whereas 15 OTUs were rare with < 1% of the total number of clones. The number of OTUs per site ranged from 4 to 21, and statistical analysis suggested diversity of 4-43 per site. Eighteen of the OTUs were endemic to one site; albeit, most endemics occurred in the sedge dominated site. One OTU was cosmopolitan, occurring in all six sites. We found a positive relationship between methanogen diversity and rates of CH4 production per site (Pearson r = 0.93). Turnover in community composition between sites was weakly related to geographic distance between sites, whereas variation in soil pH and annual temperature played larger roles. About 50% of the variation in community composition was unexplained by distance, pH, mean climate, and site age. We conclude that methanogen diversity in peatlands of the central Appalachian region is shaped by present-day environmental conditions, suggesting an influence of impending climatic and environmental changes.	2012	10.1007/s10533-011-9644-5
Dvorak, P; Hasler, P; Poulickova, A	Phylogeography of the Microcoleus vaginatus (Cyanobacteria) from Three Continents - A Spatial and Temporal Characterization	PLOS ONE	It has long been assumed that cyanobacteria have, as with other free-living microorganisms, a ubiquitous occurrence. Neither the geographical dispersal barriers nor allopatric speciation has been taken into account. We endeavoured to examine the spatial and temporal patterns of global distribution within populations of the cyanobacterium Microcoleus vaginatus, originated from three continents, and to evaluate the role of dispersal barriers in the evolution of free-living cyanobacteria. Complex phylogeographical approach was applied to assess the dispersal and evolutionary patterns in the cyanobacterium Microcoleus vaginatus (Oscillatoriales). We compared the 16S rRNA and 16S-23S ITS sequences of strains which had originated from three continents (North America, Europe, and Asia). The spatial distribution was investigated using a phylogenetic tree, network, as well as principal coordinate analysis (PCoA). A temporal characterization was inferred using molecular clocks, calibrated from fossil DNA. Data analysis revealed broad genetic diversity within M. vaginatus. Based on the phylogenetic tree, network, and PCoA analysis, the strains isolated in Europe were spatially separated from those which originated from Asia and North America. A chronogram showed a temporal limitation of dispersal barriers on the continental scale. Dispersal barriers and allopatric speciation had an important role in the evolution of M. vaginatus. However, these dispersal barriers did not have a permanent character; therefore, the genetic flow among populations on a continental scale was only temporarily present. Furthermore, M. vaginatus is a recently evolved species, which has been going through substantial evolutionary changes.	2012	10.1371/journal.pone.0040153
Cencini, M; Pigolotti, S; Munoz, MA	What Ecological Factors Shape Species-Area Curves in Neutral Models?	PLOS ONE	Understanding factors that shape biodiversity and species coexistence across scales is of utmost importance in ecology, both theoretically and for conservation policies. Species-area relationships (SARs), measuring how the number of observed species increases upon enlarging the sampled area, constitute a convenient tool for quantifying the spatial structure of biodiversity. While general features of species-area curves are quite universal across ecosystems, some quantitative aspects can change significantly. Several attempts have been made to link these variations to ecological forces. Within the framework of spatially explicit neutral models, here we scrutinize the effect of varying the local population size (i.e. the number of individuals per site) and the level of habitat saturation (allowing for empty sites). We conclude that species-area curves become shallower when the local population size increases, while habitat saturation, unless strongly violated, plays a marginal role. Our findings provide a plausible explanation of why SARs for microorganisms are flatter than those for larger organisms.	2012	10.1371/journal.pone.0038232
Li, M; Li, Y; Chen, WF; Sui, XH; Li, Y; Li, Y; Wang, ET; Chen, WX	Genetic diversity, community structure and distribution of rhizobia in the root nodules of Caragana spp. from arid and semi-arid alkaline deserts, in the north of China	SYSTEMATIC AND APPLIED MICROBIOLOGY	The genetic diversity of 88 Caragana nodule rhizobial isolates, collected from arid and semi-arid alkaline sandy soils in the north of China, was assessed by PCR-RFLP of the 16S rRNA gene and the 16S-23S IGS, as well as the phylogenies of housekeeping genes (atpD, glnII and recA) and symbiotic genes (nodC and nifH). Of the 88 strains, 69 were placed in the genus Mesorhizobium, 16 in Rhizobium and 3 in Bradyrhizobium. Mesorhizobium amorphae, Mesorhizobium septentrionale, Mesorhizobium temperatum and Rhizobium yanglingense were the four predominant microsymbionts associated with Caragana spp. in the surveyed regions, and M. septentrionale was widely distributed among the sampling sites. Phylogenies of nodC and nifH genes showed that two kinds of symbiotic genes existed, corresponding to Mesorhizobium and Rhizobium, respectively. Available phosphorous (P) and potassium (K) contents were the main soil factors correlated with the distribution of these rhizobia in the sampling regions. Positive correlations between the available higher P content/lower K content and the dominance of Mesorhizobium species (M. temperatum, M. amorphae and M. septentrionale), and between the lower P content/higher K content and the dominance of R. yanglingense were found. (c) 2012 Elsevier GmbH. All rights reserved.	2012	10.1016/j.syapm.2012.02.004
Zhang, CY; Whitaker, RJ	A broadly applicable gene knockout system for the thermoacidophilic archaeon Sulfolobus islandicus based on simvastatin selection	MICROBIOLOGY-SGM	Sulfolobus species have been developed as excellent model organisms to address fundamental questions of archaeal biology. Interesting patterns of natural variation among Sulfolobus islandicus strains have been identified through genome sequencing. Experimentally testing hypotheses about the biological causes and consequences of this natural variation requires genetic tools that apply to a diversity of strains. Previously, a genetic transformation system for S. islandicus was reported, in which overexpression of the 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase gene on the shuttle vector pSSR allowed the selection of transformants resistant to high concentrations of the thermostable antibiotic simvastatin. Here, we developed a novel gene knockout system based on simvastatin resistance. With this system, we created via homologous recombination an in-frame, markerless deletion of the intact S. islandicus M.16.4 pyrEF genes encoding orotidine-5-monophosphate pyrophosphorylase (OPRTase) and orotidine-5-monophosphate decarboxylase (OMPdecase), and a disruption of the lacS gene encoding beta-galactosidase. Phenotypic analyses of the mutants revealed that the pyrEF deletion mutant lost the ability to synthesize uracil, and the lacS deletion mutants exhibited a white colour after X-Gal staining, demonstrating that the beta-galactosidase function was inactivated. Our data demonstrate efficient tools to generate gene knockouts in a broad range of wild-type Sulfolobus strains.	2012	10.1099/mic.0.058289-0
Bell, SL; Allam, B; McElroy, A; Dove, A; Taylor, GT	INVESTIGATION OF EPIZOOTIC SHELL DISEASE IN AMERICAN LOBSTERS (HOMARUS AMERICANUS) FROM LONG ISLAND SOUND: I. CHARACTERIZATION OF ASSOCIATED MICROBIAL COMMUNITIES	JOURNAL OF SHELLFISH RESEARCH	Epizootic shell disease (ESD) is a degradative process of the carapace in the American lobster, (Homarus americanus), putatively caused by bacterial infection, and potentially responsible for serious economic losses to the lobster fishery. In Long Island Sound (LIS), ESD is prevalent in lobsters from eastern LIS (ELIS), but almost absent in western LIS (WLIS), presenting a unique opportunity to examine the influence of microbial communities on the disease process among these subpopulations. Bacterial community compositions in diseased shell, healthy shell subsamples from lobsters exhibiting signs of disease, and carapace subsamples of healthy lobsters from ELIS, WLIS, and a coastal Maine reference site were profiled using terminal restriction fragment length polymorphism (TRFLP). Although overall bacterial community membership in diseased shell was not significantly different from healthy shell and healthy lobsters, prevalence of some individual terminal restriction fragments (TRFs) varied among disease state. Several TRFs were more abundant within lesions, whereas representation of other members appeared to be diminished, particularly members of the beta- and gamma-proteobacteria. One TRF linked to anaerobic bacteria was enriched in lesions, suggesting anoxic microenvironments within diseased tissues. Activities of 4 ectohydrolases among communities were also measured in replicate excised shell samples. Chitinase potentials were high in all samples, and were indistinguishable among sample types. In contrast, proteinase and cellulase potentials were significantly higher in diseased shell than healthy shell and healthy lobster. Lipase potentials in LIS samples were significantly higher than those from Maine, but similar among disease states. The absence of site-specific differences in microbial communities suggests that biogeographic variation in colonizing microbes is not a factor in disease susceptibility. Lesion development appears to induce compositional shifts in normal carapace microflora, with displacement of some community members as others become more prevalent. Protein and cellulose appear to be more important targets than chitin for bacterial degradation within lesions. Furthermore, lipase activity, degrading the epicuticle lipid layer, may play a key role in regions with high disease prevalence.	2012	10.2983/035.031.0207
Gonzalez, A; King, A; Robeson, MS; Song, SJ; Shade, A; Metcalf, JL; Knight, R	Characterizing microbial communities through space and time	CURRENT OPINION IN BIOTECHNOLOGY	Until recently, the study of microbial diversity has mainly been limited to descriptive approaches, rather than predictive model-based analyses. The development of advanced analytical tools and decreasing cost of high-throughput multi-omics technologies has made the later approach more feasible. However, consensus is lacking as to which spatial and temporal scales best facilitate understanding of the role of microbial diversity in determining both public and environmental health. Here, we review the potential for combining these new technologies with both traditional and nascent spatio-temporal analysis methods. The fusion of proper spatio-temporal sampling, combined with modern multi-omics and computational tools, will provide insight into the tracking, development and manipulation of microbial communities.	2012	10.1016/j.copbio.2011.11.017
Hong, JK; Cho, JC	High Level of Bacterial Diversity and Novel Taxa in Continental Shelf Sediment	JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY	The bacterial diversity of the continental shelf sediment in the Yellow Sea was investigated by the cloning and sequencing of PCR-amplified 16S rRNA genes. The majority of the cloned sequences were distinct phylotypes that were novel at the species level. The richness estimator indicated that the sediment sample might harbor up to 32 phylum-level taxa. A large number of low-abundance, phylum-level taxa accounted for most of the observed phylogenetic diversity at our study site, suggesting that these low-abundance taxa might play crucial roles in the shelf sediment ecosystem.	2012	10.4014/jmb.1112.12004
Higgins, LM; Kennedy, PG	Symbiotic Frankia bacteria in Alnus forests in Mexico and the United States of America: is geographic location a good predictor of assemblage structure?	BOTANY-BOTANIQUE	While the biogeography of Alnus species is well characterized, that of their microbial symbionts remains less well understood. Little is known, for example, about how the genotypic richness of Alnus-associated Frankia bacteria varies at the continental scale, and the richness of Alnus-associated Frankia at tropical latitudes has yet to be explored. In this study, we conducted sequence-based analyses of the nifH gene comparing Frankia found in root nodules of two Alnus species in central Mexico with those associated with two Alnus species in the northwestern United States of America (USA). Similar to Frankia assemblages in northwestern USA and other geographic locations, genotypic richness within the Mexican samples was low, with five genotypes total using a >= 97% nifH sequence similarity cutoff. The vast majority of Mexican sequences belonged to genotypes also very common in northwestern USA Alnus forests, although two novel Mexican genotypes were identified. Phylogenetic analyses confirmed that all of the genotypes present in Mexico belong to larger clades of Alnus-associated Frankia. Genotype-and distance-based community analyses indicated that neither geographic location nor the phylogenetic relationships among hosts are strong predictors of Frankia assemblage structure. Our results suggest that factors other than classic biogeography are more influential in determining the continental-scale distribution and diversity of Alnus-associated Frankia.	2012	10.1139/B2012-006
Phillips, CD; Phelan, G; Dowd, SE; McDonough, MM; Ferguson, AW; Hanson, JD; Siles, L; Ordonez-Garza, N; San Francisco, M; Baker, RJ	Microbiome analysis among bats describes influences of host phylogeny, life history, physiology and geography	MOLECULAR ECOLOGY	Metagenomic methods provide an experimental approach to inform the relationships between hosts and their microbial inhabitants. Previous studies have provided the conceptual realization that microbiomes are dynamic among hosts and the intimacy of relation between micro- and macroorganisms. Here, we present an intestinal microflora community analysis for members of the order Chiroptera and investigate the relative influence of variables in shaping observed microbiome relationships. The variables ranged from those considered to have ancient and long-term influences (host phylogeny and life history) to the relatively transient variable of host reproductive condition. In addition, collection locality data, representing the geographic variable, were included in analyses. Results indicate a complex influence of variables in shaping sample relationships in which signal for host phylogeny is recovered at broad taxonomic levels (family), whereas intrafamilial analyses disclosed various degrees of resolution for the remaining variables. Although cumulative probabilities of assignment indicated both reproductive condition and geography influenced relationships, comparison of ecological measures among groups revealed statistical differences between most variable classifications. For example, ranked ecological diversity was associated with host phylogeny (deeper coalescences among families were associated with more microfloral diversity), dietary strategy (herbivory generally retained higher diversity than carnivory) and reproductive condition (reproductively active females displayed more diverse microflora than nonreproductive conditions). Overall, the results of this study describe a complex process shaping microflora communities of wildlife species as well as provide avenues for future research that will further inform the nature of symbiosis between microflora communities and hosts.	2012	10.1111/j.1365-294X.2012.05568.x
Fernandez-Carazo, R; Namsaraev, Z; Mano, MJ; Ertz, D; Wilmotte, A	Cyanobacterial diversity for an anthropogenic impact assessment in the Sor Rondane Mountains area, Antarctica	ANTARCTIC SCIENCE	The recently inaugurated Belgian Princess Elisabeth Station has been built in the Sor Rondane Mountains (Dronning Maud Land). The construction site is situated close to the Utsteinen Nunatak (71 degrees 57S, 23 degrees 20E), on a granite ridge. Prior to the survey and construction activities, the site had been subject to limited or no direct human impacts. Therefore, a biological inventory has been started for future evaluations of human impacts in the area. This study presents the cyanobacterial diversity of ten samples from the Utsteinen ridge, the Utsteinen Nunatak in the vicinity of the stations site and the more distant Ketelersbreen Dry Valley. All samples were taken before the station was built and were studied by light microscopy and Denaturing Gradient Gel Electrophoresis. Two strains were also isolated. Two different phenol-based extraction methods, with and without detergent-based steps, were tested to improve the quality of molecular detection from these environmental samples. We observed high cyanobacterial diversity (ten morphotypes and 13 operational taxonomic units) in comparison to other Antarctic terrestrial locations and a widespread distribution pattern within the Sor Rondane Mountains area. This might reflect the habitat similarities and/or the easy local dispersal capabilities of microorganisms within the region. The high diversity and proportion of potential endemic (46%) operational taxonomic units, of which 23% were newly described, suggest that this area could have acted as a biological refuge during past glaciations.	2012	10.1017/S0954102011000824
Koid, A; Nelson, WC; Mraz, A; Heidelberg, KB	Comparative Analysis of Eukaryotic Marine Microbial Assemblages from 18S rRNA Gene and Gene Transcript Clone Libraries by Using Different Methods of Extraction	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	Eukaryotic marine microbes play pivotal roles in biogeochemical nutrient cycling and ecosystem function, but studies that focus on the protistan biogeography and genetic diversity lag-behind studies of other microbes. 18S rRNA PCR amplification and clone library sequencing are commonly used to assess diversity that is culture independent. However, molecular methods are not without potential biases and artifacts. In this study, we compare the community composition of clone libraries generated from the same water sample collected at the San Pedro Ocean Time Series (SPOTs) station in the northwest Pacific Ocean. Community composition was assessed using different cell lysis methods (chemical and mechanical) and the extraction of different nucleic acids (DNA and RNA reverse transcribed to cDNA) to build Sanger ABI clone libraries. We describe specific biases for ecologically important phylogenetic groups resulting from differences in nucleic acid extraction methods that will inform future designs of eukaryotic diversity studies, regardless of the target sequencing platform planned.	2012	10.1128/AEM.06941-11
Logue, JB; Langenheder, S; Andersson, AF; Bertilsson, S; Drakare, S; Lanzen, A; Lindstrom, ES	Freshwater bacterioplankton richness in oligotrophic lakes depends on nutrient availability rather than on species-area relationships	ISME JOURNAL	A central goal in ecology is to grasp the mechanisms that underlie and maintain biodiversity and patterns in its spatial distribution can provide clues about those mechanisms. Here, we investigated what might determine the bacterioplankton richness (BR) in lakes by means of 454 pyrosequencing of the 16S rRNA gene. We further provide a BR estimate based upon a sampling depth and accuracy, which, to our knowledge, are unsurpassed for freshwater bacterioplankton communities. Our examination of 22 669 sequences per lake showed that freshwater BR in fourteen nutrient-poor lakes was positively influenced by nutrient availability. Our study is, thus, consistent with the finding that the supply of available nutrients is a major driver of species richness; a pattern that may well be universally valid to the world of both micro-and macro-organisms. We, furthermore, observed that BR increased with elevated landscape position, most likely as a consequence of differences in nutrient availability. Finally, BR decreased with increasing lake and catchment area that is negative species-area relationships (SARs) were recorded; a finding that re-opens the debate about whether positive SARs can indeed be found in the microbial world and whether positive SARs can in fact be pronounced as one of the few laws in ecology. The ISME Journal (2012) 6, 1127-1136; doi:10.1038/ismej.2011.184; published online 15 December 2011	2012	10.1038/ismej.2011.184
