AU	TI	SO	AB	PY	DI
Forster, D; Bittner, L; Karkar, S; Dunthorn, M; Romac, S; Audic, S; Lopez, P; Stoeck, T; Bapteste, E	Testing ecological theories with sequence similarity networks: marine ciliates exhibit similar geographic dispersal patterns as multicellular organisms	BMC BIOLOGY	Background: High-throughput sequencing technologies are lifting major limitations to molecular-based ecological studies of eukaryotic microbial diversity, but analyses of the resulting millions of short sequences remain a major bottleneck for these approaches. Here, we introduce the analytical and statistical framework of sequence similarity networks, increasingly used in evolutionary studies and graph theory, into the field of ecology to analyze novel pyrosequenced V4 small subunit rDNA (SSU-rDNA) sequence data sets in the context of previous studies, including SSU-rDNA Sanger sequence data from cultured ciliates and from previous environmental diversity inventories. Results: Our broadly applicable protocol quantified the progress in the description of genetic diversity of ciliates by environmental SSU-rDNA surveys, detected a fundamental historical bias in the tendency to recover already known groups in these surveys, and revealed substantial amounts of hidden microbial diversity. Moreover, network measures demonstrated that ciliates are not globally dispersed, but are structured by habitat and geographical location at intermediate geographical scale, as observed for bacteria, plants, and animals. Conclusions: Currently available universal primers used for local in-depth sequencing surveys provide little hope to exhaust the significantly higher ciliate (and most likely microbial) diversity than previously thought. Network analyses such as presented in this study offer a promising way to guide the design of novel primers and to further explore this vast and structured microbial diversity.	2015	10.1186/s12915-015-0125-5
Koberl, M; Dita, M; Martinuz, A; Staver, C; Berg, G	Agroforestry leads to shifts within the gammaproteobacterial microbiome of banana plants cultivated in Central America	FRONTIERS IN MICROBIOLOGY	Bananas (Musa spp.) belong to the most important global food commodities, and their cultivation represents the worlds largest monoculture. Although the plant-associated microbiome has substantial influence on plant growth and health, there is a lack of knowledge of the banana microbiome and its influencing factors. We studied the impact of (i) biogeography, and (ii) agroforestry on the banana-associated gammaproteobacterial microbiome analyzing plants grown in smallholder farms in Nicaragua and Costa Rica. Profiles of 16S rRNA genes revealed high abundances of Pseudomonadales, Enterobacteriales, Xanthomonadales, and Legionellales. An extraordinary high diversity of the gammaproteobacterial microbiota was observed within the endophytic microenvironments (endorhiza and pseudostem), which was similar in both countries. Enterobacteria were identified as dominant group of above-ground plant parts (pseudostem and leaves). Neither biogeography nor agroforestry showed a statistically significant impact on the gammaproteobacterial banana microbiome in general. However, indicator species for each microenvironment and country, as well as for plants grown in Coffea intercropping systems with and without agri-silvicultural production of different Fabaceae trees (Inga spp. in Nicaragua and Erythrina poeppigiana in Costa Rica) could be identified. For example, banana plants grown in agroforestry systems were characterized by an increase of potential plant-beneficial bacteria, like Pseudomonas and Stenotrophomonas, and on the other side by a decrease of Erwinia. Hence, this study could show that as a result of legume-based agroforestry the indigenous banana-associated gam maproteobacterial community noticeably shifted.	2015	10.3389/fmicb.2015.00091
Reeve, W; Ardley, J; Tian, R; Eshragi, L; Yoon, JW; Ngamwisetkun, P; Seshadri, R; Ivanova, NN; Kyrpides, NC	A Genomic Encyclopedia of the Root Nodule Bacteria: assessing genetic diversity through a systematic biogeographic survey	STANDARDS IN GENOMIC SCIENCES	Root nodule bacteria are free-living soil bacteria, belonging to diverse genera within the Alphaproteobacteria and Betaproteobacteria, that have the capacity to form nitrogen-fixing symbioses with legumes. The symbiosis is specific and is governed by signaling molecules produced from both host and bacteria. Sequencing of several model RNB genomes has provided valuable insights into the genetic basis of symbiosis. However, the small number of sequenced RNB genomes available does not currently reflect the phylogenetic diversity of RNB, or the variety of mechanisms that lead to symbiosis in different legume hosts. This prevents a broad understanding of symbiotic interactions and the factors that govern the biogeography of host-microbe symbioses. Here, we outline a proposal to expand the number of sequenced RNB strains, which aims to capture this phylogenetic and biogeographic diversity. Through the Vavilov centers of diversity (Proposal ID: 231) and GEBA-RNB (Proposal ID: 882) projects we will sequence 107 RNB strains, isolated from diverse legume hosts in various geographic locations around the world. The nominated strains belong to nine of the 16 currently validly described RNB genera. They include 13 type strains, as well as elite inoculant strains of high commercial importance. These projects will strongly support systematic sequence-based studies of RNB and contribute to our understanding of the effects of biogeography on the evolution of different species of RNB, as well as the mechanisms that determine the specificity and effectiveness of nodulation and symbiotic nitrogen fixation by RNB with diverse legume hosts.	2015	10.1186/1944-3277-10-14
Jiang, XX; Dang, HY; Jiao, NZ	Ubiquity and Diversity of Heterotrophic Bacterial nasA Genes in Diverse Marine Environments	PLOS ONE	Nitrate uptake by heterotrophic bacteria plays an important role in marine N cycling. However, few studies have investigated the diversity of environmental nitrate assimilating bacteria (NAB). In this study, the diversity and biogeographical distribution of NAB in several global oceans and particularly in the western Pacific marginal seas were investigated using both cultivation and culture-independent molecular approaches. Phylogenetic analyses based on 16S rRNA and nasA (encoding the large subunit of the assimilatory nitrate reductase) gene sequences indicated that the cultivable NAB in South China Sea belonged to the alpha-Proteobacteria, gamma-Proteobacteria and CFB (Cytophaga-Flavobacteria-Bacteroides) bacterial groups. In all the environmental samples of the present study, alpha-Proteobacteria, gamma-Proteobacteria and Bacteroidetes were found to be the dominant nasA-harboring bacteria. Almost all of the alpha-Proteobacteria OTUs were classified into three Roseobacter-like groups (I to III). Clone library analysis revealed previously underestimated nasA diversity; e.g. the nasA gene sequences affiliated with beta-Proteobacteria, epsilon-Proteobacteria and Lentisphaerae were observed in the field investigation for the first time, to the best of our knowledge. The geographical and vertical distributions of seawater nasA-harboring bacteria indicated that NAB were highly diverse and ubiquitously distributed in the studied marginal seas and world oceans. Niche adaptation and separation and/or limited dispersal might mediate the NAB composition and community structure in different water bodies. In the shallow-water Kueishantao hydrothermal vent environment, chemolithoautotrophic sulfur-oxidizing bacteria were the primary NAB, indicating a unique nitrate-assimilating community in this extreme environment. In the coastal water of the East China Sea, the relative abundance of Alteromonas and Roseobacter-like nasA gene sequences responded closely to algal blooms, indicating that NAB may be active participants contributing to the bloom dynamics. Our statistical results suggested that salinity, temperature and nitrate may be some of the key environmental factors controlling the composition and dynamics of the marine NAB communities.	2015	10.1371/journal.pone.0117473
Zhang, XM; Liu, W; Zhang, GM; Jiang, L; Han, XG	Mechanisms of soil acidification reducing bacterial diversity	SOIL BIOLOGY & BIOCHEMISTRY	A central goal in soil microbial ecology research is to identify the biodiversity patterns and reveal the underlying mechanisms. Long-term soil acidification is known to reduce soil bacterial diversity, but the mechanisms responsible for this pattern have not been well explored. Soil acidification may reduce bacterial richness through ecological filtering (EF). In contrast, two types of processes may promote the maintenance of bacterial richness: species may adapt to the acidic pressure through evolution, and endemic species already adapted to the acidic pressure can colonize the acidified soils through dispersal. To identify the relative contribution of EF and evolution/dispersal (ED), we collected soils with a pH range of 4-7 from different ecosystems, conducted an acidification experiment with a similar pH range in a neutral soil, and proposed a conceptual framework that could distinguish the three potential types of mechanism (neither EF nor ED operate; EF operates alone; ED counteracts some effect of EF). We found that the entire bacterial domain was driven by the third type of mechanism, with ED counteracting about 42.4% (95% confidence interval: 32.7-50.4%) effect of EF. Meanwhile, different bacterial phyla/classes were governed by different types of mechanisms, and the dominant was the third type. Our results highlight the importance of both ecological and evolutionary mechanisms for regulating soil bacterial communities under environmental changes. (C) 2014 Elsevier Ltd. All rights reserved.	2015	10.1016/j.soilbio.2014.11.004
Taketani, RG; Kavamura, VN; Mendes, R; Melo, IS	Functional congruence of rhizosphere microbial communities associated to leguminous tree from Brazilian semiarid region	ENVIRONMENTAL MICROBIOLOGY REPORTS	Semiarid environments are characterized by the uneven spread of rain throughout the year. This leads to the establishment of a biota that can go through long periods without rain. In order to understand the dynamics of rhizosphere microbial communities across these contrasting seasons in Caatinga, we used the Ion Torrent platform to sequence the metagenome of the rhizosphere of a native leguminous plant (Mimosa tenuiflora). The annotation indicated that most abundant groups detected were the Actinobacteria and Proteobacteria, and the dominant functional groups were carbohydrate and protein metabolisms, and that in the wet season, the communities carried carbohydrate and amino acid metabolisms. The major differences observed between seasons were higher abundance of genes related to carbohydrate and amino acid metabolisms in the rainy season, indicating that the populations present might be better adapted to a higher abundance of organic matter. Besides, no clear separation of samples was detected based on their taxonomic composition whereas the functional composition indicates that samples from the rain season are more related. Altogether, our results indicate that there is a large functional stability in these communities mostly due to the selection of features that aid the biota to endure the dry season and blossom during rain.	2015	10.1111/1758-2229.12187
Zhu, GB; Zhou, LL; Wang, Y; Wang, SY; Guo, JH; Long, XE; Sun, XB; Jiang, B; Hou, QY; Jetten, MSM; Yin, CQ	Biogeographical distribution of denitrifying anaerobic methane oxidizing bacteria in Chinese wetland ecosystems	ENVIRONMENTAL MICROBIOLOGY REPORTS	The discovery of denitrifying anaerobic methane oxidation with nitrite as electron acceptor mediated by CandidatusMethylomirabilis oxyfera connected the biogeochemical carbon and nitrogen cycle in a new way. However, it is important to have a comprehensive understanding about the distribution of M.oxyfera-like bacteria in the terrestrial realm, especially the wetland ecosystems that are known as the largest natural source of atmospheric methane. Here, our molecular evidence demonstrated that a wide geographical distribution of M.oxyfera-like bacteria at oxic/anoxic interfaces of various wetlands (n=91) over the Chinese territory. Intriguingly, the M.oxyfera-like bacteria were detected in some extreme environments, indicating that M.oxyfera-like bacteria occupied a wide range of habitats. Quantitative polymerase chain reaction estimated that the abundance of M.oxyfera-like bacteria ranged from 2.2x10(3) to 2.3x10(7) copiesg(-1) dry soil, and up to around 0.62% of the total number of bacteria. Moreover, the M.oxyfera-like bacteria showed high biodiversity in wetland ecosystems based on the analysis of 462 pmoA and 287 16S rRNA gene sequences. The current study revealed the widespread distribution and biogeography of M.oxyfera-like bacteria in the terrestrial system.	2015	10.1111/1758-2229.12214
Harkins, KM; Stone, AC	Ancient pathogen genomics: insights into timing and adaptation	JOURNAL OF HUMAN EVOLUTION	Disease is a major cause of natural selection affecting human evolution, whether through a sudden pandemic or persistent morbidity and mortality. Recent contributions in the field of ancient pathogen genomics have advanced our understanding of the antiquity and nature of human-pathogen interactions through time. Technical advancements have facilitated the recovery, enrichment, and high-throughput sequencing of pathogen and parasite DNA from archived and archaeological remains. These time-stamped genomes are crucial for calibrating molecular clocks to infer the timing of evolutionary events, while providing finer-grain resolution to phylogenetic reconstructions and complex biogeographical patterns. Additionally, genome scale data allow better identification of substitutions linked to adaptations of the pathogen to their human hosts. As methodology continues to improve, ancient genomes of humans and their diverse microbiomes from a range of eras and archaeological contexts will enable population-level ancient analyses in the near future and a better understanding of their co-evolutionary history. (c) 2014 Elsevier Ltd. All rights reserved.	2015	10.1016/j.jhevol.2014.11.002
Valverde, A; Makhalanyane, TP; Seely, M; Cowan, DA	Cyanobacteria drive community composition and functionality in rock-soil interface communities	MOLECULAR ECOLOGY	Most ecological research on hypoliths, significant primary producers in hyperarid deserts, has focused on the diversity of individual groups of microbes (i.e. bacteria). However, microbial communities are inherently complex, and the interactions between cyanobacteria, heterotrophic bacteria, protista and metazoa are likely to be very important for ecosystem functioning. Cyanobacterial and heterotrophic bacterial communities were analysed by pyrosequencing, while metazoan and protistan communities were assessed by T-RFLP analysis. Microbial functionality was estimated using carbon substrate utilization. Cyanobacterial community composition was significant in shaping community structure and function in hypoliths. Ecological network analysis showed that most significant co-occurrences were positive, representing potential synergistic interactions. There were several highly interconnected associations (modules), and specific cyanobacteria were important in driving the modular structure of hypolithic networks. Together, our results suggest that hypolithic cyanobacteria have strong effects on higher trophic levels and ecosystem functioning.	2015	10.1111/mec.13068
Yeh, YC; Peres-Neto, PR; Huang, SW; Lai, YC; Tu, CY; Shiah, FK; Gong, GC; Hsieh, CH	Determinism of bacterial metacommunity dynamics in the southern East China Sea varies depending on hydrography	ECOGRAPHY	Spatial variation of communities composition (metacommunities) results from multiple assembly mechanisms, including environmental filtering and dispersal; however, whether and why the relative importance of the assembly mechanisms in shaping bacterial metacommunity changes through time in marine pelagic systems remains poorly studied. Here, we applied the elements of metacommunity structure framework and the variation partitioning framework to examine whether temporal variation of hydrographic conditions influences bacterioplankton metacommunity dynamics in the southern East China Sea (ECS). The spatiotemporal variation of bacterial communities composition was revealed using 454 pyrosequencing of 16S rDNA. In addition to the whole bacterial community, we analyzed four dominant taxonomic groups (Cyanobacteria, Alphaproteobacteria, Gammaproteobacteria, and Actinobacteria) separately. Our analyses indicate that, considering the whole community level, the determinism of metacommunity structure varied among seasons. When the degree of connectivity was low (December), the metacommunity exhibited random distribution and was explained mainly by the environmental component. However, Clementsian metacommunity was found at intermediate connectivity (May), during which the environmental and spatial predictors were both significant. When connectivity was high (August), a random distribution pattern was found and no significant effect of environmental filtering or dispersal limitation was detected. Nevertheless, when considering different taxonomic groups, the differences in metacommunity dynamics among groups were found. Our results suggest that the driving forces of metacommunity dynamics varied depending on hydrography, as the degrees of environmental heterogeneity and connectivity among habitat patches were determined by circulation pattern. Moreover, mechanisms varied among different taxonomic groups, suggesting that differential dispersal capacity among taxonomic groups should be integrated into community assembly studies.	2015	10.1111/ecog.00986
Echenique-Subiabre, I; Villeneuve, A; Golubic, S; Turquet, J; Humbert, JF; Gugger, M	Influence of local and global environmental parameters on the composition of cyanobacterial mats in a tropical lagoon	MICROBIAL ECOLOGY	Cyanobacteria-dominated microbial mat communities thrive widely and year round in coral reefs and tropical lagoons, with periodic massive development of benthic blooms. We studied the diversity and spatiotemporal variation of the cyanobacterial dominance in mats of the shallow lagoon of La R,union Island in the Indian Ocean by means of denaturing gradient gel electrophoresis and cloning-sequencing approaches targeting the 16S rRNA gene, combined with macromorphological and micromorphological characterization of corresponding phenotypes. The mat-forming cyanobacteria were highly diversified with at least 67 distinct operational taxonomic units identified in the lagoon, encompassing the entire morphological spectrum of the phylum Cyanobacteria, but with striking dominance of Oscillatoriales and Nostocales. It appeared also that selective pressures acting at different geographical scales have an influence on the structure and composition of these mats dominated by cyanobacteria. First, large changes were observed in their diversity and composition in relation to local changes occurring in their environment. Second, from the data obtained on the richness and composition of the mats and from the comparison with similar studies in the world, tropical mats seem to display wider cyanobacterial richness than in temperate and cold areas. Moreover, these tropical mats share more species with mats in other tropical regions than with those in temperate and cold climatic regions, suggesting that marine cyanobacteria in biofilms and mats display a biogeographic structure.	2015	10.1007/s00248-014-0496-0
Lafleur, JE; Rice, SA	Induction of resistance to S-aureus in an environmental marine biofilm grown in Sydney Harbor, NSW, Australia	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY	The study of environmental biofilms is complicated by the difficulty of working with them under lab conditions. Nonetheless, knowledge of cellular activity and interactions within environmental biofilms could lead to novel biomedical applications. To address this problem we previously proposed a new technique for inducing resistance to Staphylococcus aureus in an intact environmental biofilm. In the current follow-up study we applied the new technique in a biogeographically distinct environment using a different strain of S. aureus. The proposed technique for inducing resistance to S. aureus in an environmental biofilm involves growing the environmental biofilms over several days in media reflecting their natural habitat on agar that contains spent culture supernatant from S. aureus over-night culture. We found in this second study that it was possible to induce resistance to S. aureus in an environmental biofilm from a biogeographically distinct environment, though not in the same way as we had previously observed. Environmental consortia from Sydney Harbor, Australia display an ability to inhibit biofilm formation by S. aureus; only in the case where the environmental biofilms were pretreated with UV radiation was there a difference in activity between environmental consortia grown on plain agar, and that grown on S. aureus agar. Application of the new technique in the current study also differs in that significant killing of cells within an established S. aureus biofilm by environmental consortia grown on S. aureus agar was possible.	2015	10.1007/s11274-014-1787-9
Knight, S; Goddard, MR	Quantifying separation and similarity in a Saccharomyces cerevisiae metapopulation	ISME JOURNAL	Eukaryotic microbes are key ecosystem drivers; however, we have little theory and few data elucidating the processes influencing their observed population patterns. Here we provide an in-depth quantitative analysis of population separation and similarity in the yeast Saccharomyces cerevisiae with the aim of providing a more detailed account of the population processes occurring in microbes. Over 10 000 individual isolates were collected from native plants, vineyards and spontaneous ferments of fruit from six major regions spanning 1000km across New Zealand. From these, hundreds of S. cerevisiae genotypes were obtained, and using a suite of analytical methods we provide comprehensive quantitative estimates for both population structure and rates of gene flow or migration. No genetic differentiation was detected within geographic regions, even between populations inhabiting native forests and vineyards. We do, however, reveal a picture of national population structure at scales above similar to 100km with distinctive populations in the more remote Nelson and Central Otago regions primarily contributing to this. In addition, differential degrees of connectivity between regional populations are observed and correlate with the movement of fruit by the New Zealand wine industry. This suggests some anthropogenic influence on these observed population patterns.	2015	10.1038/ismej.2014.132
Doxey, AC; Kurtz, DA; Lynch, MDJ; Sauder, LA; Neufeld, JD	Aquatic metagenomes implicate Thaumarchaeota in global cobalamin production	ISME JOURNAL	Cobalamin (vitamin B-12) is a complex metabolite and essential cofactor required by many branches of life, including most eukaryotic phytoplankton. Algae and other cobalamin auxotrophs rely on environmental cobalamin supplied from a relatively small set of cobalamin-producing prokaryotic taxa. Although several Bacteria have been implicated in cobalamin biosynthesis and associated with algal symbiosis, the involvement of Archaea in cobalamin production is poorly understood, especially with respect to the Thaumarchaeota. Based on the detection of cobalamin synthesis genes in available thaumarchaeotal genomes, we hypothesized that Thaumarchaeota, which are ubiquitous and abundant in aquatic environments, have an important role in cobalamin biosynthesis within global aquatic ecosystems. To test this hypothesis, we examined cobalamin synthesis genes across sequenced thaumarchaeotal genomes and 430 metagenomes from a diverse range of marine, freshwater and hypersaline environments. Our analysis demonstrates that all available thaumarchaeotal genomes possess cobalamin synthesis genes, predominantly from the anaerobic pathway, suggesting widespread genetic capacity for cobalamin synthesis. Furthermore, although bacterial cobalamin genes dominated most surface marine metagenomes, thaumarchaeotal cobalamin genes dominated metagenomes from polar marine environments, increased with depth in marine water columns, and displayed seasonality, with increased winter abundance observed in time-series datasets (e.g., L4 surface water in the English Channel). Our results also suggest niche partitioning between thaumarchaeotal and cyanobacterial ribosomal and cobalamin synthesis genes across all metagenomic datasets analyzed. These results provide strong evidence for specific biogeographical distributions of thaumarchaeotal cobalamin genes, expanding our understanding of the global biogeochemical roles played by Thaumarchaeota in aquatic environments.	2015	10.1038/ismej.2014.142
Read, DS; Gweon, HS; Bowes, MJ; Newbold, LK; Field, D; Bailey, MJ; Griffiths, RI	Catchment-scale biogeography of riverine bacterioplankton	ISME JOURNAL	Lotic ecosystems such as rivers and streams are unique in that they represent a continuum of both space and time during the transition from headwaters to the river mouth. As microbes have very different controls over their ecology, distribution and dispersion compared with macrobiota, we wished to explore biogeographical patterns within a river catchment and uncover the major drivers structuring bacterioplankton communities. Water samples collected across the River Thames Basin, UK, covering the transition from headwater tributaries to the lower reaches of the main river channel were characterised using 16S rRNA gene pyrosequencing. This approach revealed an ecological succession in the bacterial community composition along the river continuum, moving from a community dominated by Bacteroidetes in the headwaters to Actinobacteria-dominated downstream. Location of the sampling point in the river network (measured as the cumulative water channel distance upstream) was found to be the most predictive spatial feature; inferring that ecological processes pertaining to temporal community succession are of prime importance in driving the assemblages of riverine bacterioplankton communities. A decrease in bacterial activity rates and an increase in the abundance of low nucleic acid bacteria relative to high nucleic acid bacteria were found to correspond with these downstream changes in community structure, suggesting corresponding functional changes. Our findings show that bacterial communities across the Thames basin exhibit an ecological succession along the river continuum, and that this is primarily driven by water residence time rather than the physico-chemical status of the river.	2015	10.1038/ismej.2014.166
Staley, C; Gould, TJ; Wang, P; Phillips, J; Cotner, JB; Sadowsky, MJ	Species sorting and seasonal dynamics primarily shape bacterial communities in the Upper Mississippi River	SCIENCE OF THE TOTAL ENVIRONMENT	Bacterial community structure (BCS) in freshwater ecosystems varies seasonally and due to physicochemical gradients, but metacommunity structure of a major river remains understudied. Here we characterize the BCS along the Mississippi River and contributing rivers in Minnesota over three years using Illumina next-generation sequencing, to determine how changes in environmental conditions as well as inputs from surrounding land and confluences impacted community structure. Contributions of sediment to water microbial diversity were also evaluated. Long-term variation in community membership was observed, and significant shifts in relative abundances of major freshwater taxa, including alpha-Proteobacteria, Burkholderiales, and Actinomycetales, were observed due to temporal and spatial variations. Environmental parameters (e.g. temperature, rainfall, and nutrient concentrations) primarily contributed to differences in phyla abundances (88% of variance), with minimal influence from spatial distance alone (<1% of variance). Furthermore, an annually-recurrent BCS was observed in late summer, further suggesting that seasonal dynamics strongly influence community composition. Sediment communities differed from those in the water, but contributed up to 50% to community composition in the water column. Among water sampling sites, 34% showed significant variability in BCS of replicate samples indicating variability among riverine communities due to heterogeneity in the water column. Results of this study highlight the need for a better understanding of spatial and temporal variations in riverine bacterial diversity associated with physicochemical gradients and reveal how communities in sediments, and potentially other environmental reservoirs, impact waterborne BCS. Techniques used in this study may prove useful to determine sources of microbes from sediments and soils to waterways, which will facilitate best management practices and total maximum daily load determinations. (C) 2014 Elsevier B.V. All rights reserved.	2015	10.1016/j.scitotenv.2014.10.012
Alguacil, MM; Torrecillas, E; Lozano, Z; Roldan, A	Arbuscular mycorrhizal fungi communities in a coral cay system (Morrocoy, Venezuela) and their relationships with environmental variables	SCIENCE OF THE TOTAL ENVIRONMENT	Knowledge of the natural diversity of arbuscular mycorrhizal fungi (AMF) and understanding of their biogeographical patterns and what drive them might help to the maintenance and preservation of ecosystems under a changing environment. The objective of this study was to evaluate the contribution of different environmental factors to the determination of the composition of AMF assemblages in representative sites within the Morrocoy National Park (Venezuela). The community structure of the AMF under the canopy of Coccoloba uvifera was investigated in four cays (Borracho, Muerto, Peraza, and Paiclas) and one mainland location (Las Luisas). Based on partial sequences of the nuclear small subunit ribosomal DNA gene, the AM fungi in soil samples were divided into 31 operational taxonomic units, grouped in eight families. The canonical correspondence analysis showed that environmental factors related to insularity (the mean annual rainfall, the distance to the mainland coast, and the cay land area) and a soil property related to biological activity (the total carbohydrate content) were significantly related to the distribution of the AMF communities. (C) 2014 Elsevier B.V. All rights reserved.	2015	10.1016/j.scitotenv.2014.10.030
Choi, DH; Park, KT; An, SM; Lee, K; Cho, JC; Lee, JH; Kim, D; Jeon, D; Noh, JH	Pyrosequencing Revealed SAR116 Clade as Dominant dddP-Containing Bacteria in Oligotrophic NW Pacific Ocean	PLOS ONE	Dimethyl sulfide (DMS) is a climatically active gas released into the atmosphere from oceans. It is produced mainly by bacterial enzymatic cleavage of dimethylsulfoniopropionate (DMSP), and six DMSP lyases have been identified to date. To determine the biogeographical distribution of bacteria relevant to DMS production, we investigated the diversity of dddP-the most abundant DMS-producing gene-in the northwestern Pacific Ocean using newly developed primers and the pyrosequencing method. Consistent with previous studies, the major dddP-containing bacteria in coastal areas were those belonging to the Roseobacter clade. However, genotypes closely related to the SAR116 group were found to represent a large portion of dddP-containing bacteria in the surface waters of the oligotrophic ocean. The addition of DMSP to a culture of the SAR116 strain Candidatus Puniceispirillum marinum IMCC1322 resulted in the production of DMS and upregulated expression of the dddP gene. Considering the large area of oligotrophic water and the wide distribution of the SAR116 group in oceans worldwide, we propose that these bacteria may play an important role in oceanic DMS production and biogeochemical sulfur cycles, especially via bacteriamediated DMSP degradation.	2015	10.1371/journal.pone.0116271
Charlop-Powers, Z; Owen, JG; Reddy, BVB; Ternei, M; Guimaraes, DO; de Frias, UA; Pupo, MT; Seepe, P; Feng, ZY; Brady, SF	Global Biogeographic Sampling of Bacterial Secondary Metabolism	ELIFE	Recent bacterial (meta) genome sequencing efforts suggest the existence of an enormous untapped reservoir of natural-product-encoding biosynthetic gene clusters in the environment. Here we use the pyrosequencing of PCR amplicons derived from both nonribosomal peptide adenylation domains and polyketide ketosynthase domains to compare biosynthetic diversity in soil microbiomes from around the globe. We see large differences in domain populations from all except the most proximal and biome-similar samples, suggesting that most microbiomes will encode largely distinct collections of bacterial secondary metabolites. Our data indicate a correlation between two factors, geographic distance and biome-type, and the biosynthetic diversity found in soil environments. By assigning reads to known gene clusters we identify hotspots of biomedically relevant biosynthetic diversity. These observations not only provide new insights into the natural world, they also provide a road map for guiding future natural products discovery efforts.	2015	10.7554/eLife.05048
Pedersen, MW; Overballe-Petersen, S; Ermini, L; Sarkissian, CD; Haile, J; Hellstrom, M; Spens, J; Thomsen, PF; Bohmann, K; Cappellini, E; Schnell, IB; Wales, NA; Caroe, C; Campos, PF; Schmidt, AMZ; Gilbert, MTP; Hansen, AJ; Orlando, L; Willerslev, E	Ancient and modern environmental DNA	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	DNA obtained from environmental samples such as sediments, ice or water (environmental DNA, eDNA), represents an important source of information on past and present biodiversity. It has revealed an ancient forest in Greenland, extended by several thousand years the survival dates for mainland woolly mammoth in Alaska, and pushed back the dates for spruce survival in Scandinavian ice-free refugia during the last glaciation. More recently, eDNA was used to uncover the past 50 000 years of vegetation history in the Arctic, revealing massive vegetation turnover at the Pleistocene/Holocene transition, with implications for the extinction of megafauna. Furthermore, eDNA can reflect the biodiversity of extant flora and fauna, both qualitatively and quantitatively, allowing detection of rare species. As such, trace studies of plant and vertebrate DNA in the environment have revolutionized our knowledge of biogeography. However, the approach remains marred by biases related to DNA behaviour in environmental settings, incomplete reference databases and false positive results due to contamination. We provide a review of the field.	2015	10.1098/rstb.2013.0383
Stellato, G; La Storia, A; Cirillo, T; Ercolini, D	Bacterial biogeographical patterns in a cooking center for hospital foodservice	INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	Microbial contamination in foodservice environments plays a fundamental role in food quality and safety. In such environments the composition of the microbiota is influenced by the characteristics of the specific surfaces and by food handling and processing and a resident microbiota may be present in each site. In this study, the bacterial biogeographical patterns in a hospital cooking center was studied by 16S rRNA-based culture-independent high-throughput amplicon sequencing in order to provide a comprehensive mapping of the surfaces and tools that come in contact with foods during preparation. Across all area, surface swab-samples from work surfaces of different zones were taken: food pre-processing rooms (dedicated to fish, vegetables, and red and white meat), storage room and kitchen. The microbiota of environmental swabs was very complex, including more than 500 operational taxonomic units (OTUs) with extremely variable relative abundances (0.02-99%) depending on the species. A core microbiota was found that was common to more than 70% of the samples analyzed and that included microbial species that were common across all areas such as Acinetobacter, Chryseobacterium, Moraxellaceae, and Alicyclobacillus, although their abundances were below 10% of the microbiota. Some surfaces were contaminated by high levels of either Pseudomonas, Psychrobacter, Paracoccus, or Kocuria. However, beta diversity analysis showed that, based on the composition of the microbiota, the environmental samples grouped according to the sampling time but not according to the specific area of sampling except for the case of samples from the vegetable pre-processing room that showed a higher level of similarity. The cleaning procedures can have a very strong impact on the spatial distribution of the microbial communities, as the use of the same cleaning tools can be even a possible vector of bacterial diffusion. Most of the microbial taxa found are not those commonly found in food as spoilers or hazardous bacteria, which indicates that food and storage conditions can be very selective in the growth of possible contaminants. (C) 2014 Elsevier B.V. All rights reserved.	2015	10.1016/j.ijfoodmicro.2014.10.018
Buttigieg, PL; Ramette, A	Biogeographic patterns of bacterial microdiversity in Arctic deep-sea sediments(HAUSGARTEN, Fram Strait)	FRONTIERS IN MICROBIOLOGY	Marine bacteria colonizing deep-sea sediments beneath the Arctic ocean, a rapidly changing ecosystem, have been shown to exhibit significant biogeographic patterns along transects spanning tens of kilometers and across water depths of several thousand meters (Jacob etal., 2013). Jacob etal. (2013) adopted what has become a classical view of microbial diversity based on operational taxonomic units clustered at the 97% sequence identity level of the 16S rRNA gene and observed a very large microbial community replacement at the HAUSGARTEN Long Term Ecological Research station (Eastern Fram Strait). Here, we revisited these data using the oligotyping approach and aimed to obtain new insight into ecological and biogeographic patterns associated with bacterial microdiversity in marine sediments. We also assessed the level of concordance of these insights with previously obtained results. Variation in oligotype dispersal range, relative abundance, co-occurrence, and taxonomic identity were related to environmental parameters such as water depth, biomass, and sedimentary pigment concentration. This study assesses ecological implications of the new microdiversity-based technique using a well-characterized dataset of high relevance for global change biology.	2015	10.3389/fmicb.2014.00660
